run_ts,phase,op,category,M,S,stock_ms,ours_ms,speedup,impl,archive,protocol,same_inputs,shape
20260720T085336Z,decode,fused_qkv_a_proj,Attention,16,65536,0.023310,0.007306,3.1905,dropin:best-hechenxi-0720/fused_qkv_a_decode,best-hechenxi-0720/fused_qkv_a_decode,cuda_graph,True,"[16, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,decode,q_b_proj,Attention,16,65536,0.025069,0.007125,3.5185,dropin:best/q_b_decode,best/q_b_decode,cuda_graph,True,"[16, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,decode,absorbed_W_UK,Attention,16,65536,0.002454,0.002454,1.0000,llm_flops_stock,,cuda_graph,True,"bmm_fp8 [64, 16, 192]×[192, 512]"
20260720T085336Z,decode,absorbed_W_UV,Attention,16,65536,0.002493,0.002493,1.0000,llm_flops_stock,,cuda_graph,True,"bmm_fp8 [64, 16, 512]×[512, 256]"
20260720T085336Z,decode,o_proj,Attention,16,65536,0.045069,0.022184,2.0316,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[16, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,decode,dsa_decode_attn,DSA,16,65536,0.040016,0.018400,2.1748,dropin:best-hechenxi-0720/dsa_decode_attn,best-hechenxi-0720/dsa_decode_attn,cuda_graph,True,flash_mla_sparse_fwd s_q=16 s_kv=65536 topk=2048 (decode batch)
20260720T085336Z,decode,index_k_proj,DSA Indexer,16,65536,0.021662,0.008768,2.4706,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[16, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_q_upproj,DSA Indexer,16,65536,0.016883,0.005131,3.2904,dropin:best-hechenxi-0720/index_q_upproj_decode,best-hechenxi-0720/index_q_upproj_decode,cuda_graph,True,"[16, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_weights_proj,DSA Indexer,16,65536,0.012891,0.012891,1.0000,llm_flops_stock,,cuda_graph,True,"[16, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,decode,index_score,DSA Indexer,16,65536,0.026394,0.026394,1.0000,llm_flops_stock,,cuda_graph,True,fp8_paged_mqa_logits batch=16 s_kv=65536 (paged decode)
20260720T085336Z,decode,moe_gate_proj,MoE,16,65536,0.037282,0.025435,1.4658,dropin:best/moe_gate_proj_decode_hbm40,best/moe_gate_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_up_proj,MoE,16,65536,0.037558,0.025224,1.4890,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_down_proj,MoE,16,65536,0.036784,0.024454,1.5042,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x, 2048]×[2048, 6144]"
20260720T085336Z,decode,fused_qkv_a_proj,Attention,32,65536,0.022931,0.009384,2.4436,dropin:best-hechenxi-0720/fused_qkv_a_decode,best-hechenxi-0720/fused_qkv_a_decode,cuda_graph,True,"[32, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,decode,q_b_proj,Attention,32,65536,0.023878,0.007109,3.3588,dropin:best/q_b_decode,best/q_b_decode,cuda_graph,True,"[32, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,decode,absorbed_W_UK,Attention,32,65536,0.002709,0.002709,1.0000,llm_flops_stock,,cuda_graph,True,"bmm_fp8 [64, 32, 192]×[192, 512]"
20260720T085336Z,decode,absorbed_W_UV,Attention,32,65536,0.002602,0.002602,1.0000,llm_flops_stock,,cuda_graph,True,"bmm_fp8 [64, 32, 512]×[512, 256]"
20260720T085336Z,decode,o_proj,Attention,32,65536,0.046133,0.028194,1.6363,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[32, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,decode,dsa_decode_attn,DSA,32,65536,0.039814,0.024674,1.6136,dropin:best-hechenxi-0720/dsa_decode_attn,best-hechenxi-0720/dsa_decode_attn,cuda_graph,True,flash_mla_sparse_fwd s_q=32 s_kv=65536 topk=2048 (decode batch)
20260720T085336Z,decode,index_k_proj,DSA Indexer,32,65536,0.020896,0.008667,2.4110,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[32, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_q_upproj,DSA Indexer,32,65536,0.016962,0.006530,2.5975,dropin:best-hechenxi-0720/index_q_upproj_decode,best-hechenxi-0720/index_q_upproj_decode,cuda_graph,True,"[32, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_weights_proj,DSA Indexer,32,65536,0.012858,0.012858,1.0000,llm_flops_stock,,cuda_graph,True,"[32, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,decode,index_score,DSA Indexer,32,65536,0.047379,0.047379,1.0000,llm_flops_stock,,cuda_graph,True,fp8_paged_mqa_logits batch=32 s_kv=65536 (paged decode)
20260720T085336Z,decode,moe_gate_proj,MoE,32,65536,0.037466,0.025544,1.4667,dropin:best/moe_gate_proj_decode_hbm40,best/moe_gate_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_up_proj,MoE,32,65536,0.038240,0.025315,1.5106,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_down_proj,MoE,32,65536,0.036819,0.024616,1.4957,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x, 2048]×[2048, 6144]"
20260720T085336Z,decode,__LAYER__,layer,16,65536,0.327865,0.188259,1.7416,sum,,cuda_graph,True,
20260720T085336Z,decode,__LAYER__,layer,32,65536,0.348687,0.225581,1.5457,sum,,cuda_graph,True,
20260720T085336Z,prefill,fused_qkv_a_proj,Attention,1024,65536,0.024845,0.014810,1.6776,dropin:fused_qkv_a_prefill.py,fused_qkv_a_prefill.py,cuda_graph,True,"[1024, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,prefill,q_b_proj,Attention,1024,65536,0.041691,0.025458,1.6376,dropin:q_b_prefill.py,q_b_prefill.py,cuda_graph,True,"[1024, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,prefill,absorbed_W_UK,Attention,1024,65536,0.015102,0.015077,1.0017,dropin:absorbed_W_UK_prefill.py,absorbed_W_UK_prefill.py,cuda_graph,True,"bmm_fp8 [64, 1024, 192]×[192, 512]"
20260720T085336Z,prefill,absorbed_W_UV,Attention,1024,65536,0.010411,0.010693,0.9736,dropin:absorbed_W_UV_prefill.py,absorbed_W_UV_prefill.py,cuda_graph,True,"bmm_fp8 [64, 1024, 512]×[512, 256]"
20260720T085336Z,prefill,o_proj,Attention,1024,65536,0.086779,0.076803,1.1299,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[1024, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,dsa_prefill_attn,DSA,1024,65536,0.280834,0.306971,0.9149,dropin:dsa_prefill_attn.py,dsa_prefill_attn.py,cuda_graph,True,flash_mla_sparse_fwd s_q=1024 s_kv=65536 topk=2048
20260720T085336Z,prefill,index_k_proj,DSA Indexer,1024,65536,0.085010,0.074018,1.1485,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_q_upproj,DSA Indexer,1024,65536,0.021749,0.011301,1.9245,dropin:index_q_upproj_prefill.py,index_q_upproj_prefill.py,cuda_graph,True,"[1024, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_weights_proj,DSA Indexer,1024,65536,0.016667,0.010459,1.5936,dropin:index_weights_proj.py,index_weights_proj.py,cuda_event,True,"[1024, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,prefill,index_score,DSA Indexer,1024,65536,0.260094,0.278296,0.9346,dropin:index_score_prefill.py,index_score_prefill.py,cuda_graph,True,"fp8_mqa_logits q=[1024,32,128] k=[65536,128]"
20260720T085336Z,prefill,moe_gate_proj,MoE,1024,65536,0.101208,0.101208,1.0000,llm_flops_stock,,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_up_proj,MoE,1024,65536,0.095638,0.087427,1.0939,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,1024,65536,0.101603,0.094584,1.0742,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,fused_qkv_a_proj,Attention,2048,65536,0.036715,0.026899,1.3649,dropin:fused_qkv_a_prefill.py,fused_qkv_a_prefill.py,cuda_graph,True,"[2048, 6144]×[6144, 2624]  (DeepGEMM FP8)"
20260720T085336Z,prefill,q_b_proj,Attention,2048,65536,0.069714,0.052256,1.3341,dropin:q_b_prefill.py,q_b_prefill.py,cuda_graph,True,"[2048, 2048]×[2048, 16384]  (DeepGEMM FP8)"
20260720T085336Z,prefill,absorbed_W_UK,Attention,2048,65536,0.031451,0.031347,1.0033,dropin:absorbed_W_UK_prefill.py,absorbed_W_UK_prefill.py,cuda_graph,True,"bmm_fp8 [64, 2048, 192]×[192, 512]"
20260720T085336Z,prefill,absorbed_W_UV,Attention,2048,65536,0.022739,0.022802,0.9972,dropin:absorbed_W_UV_prefill.py,absorbed_W_UV_prefill.py,cuda_graph,True,"bmm_fp8 [64, 2048, 512]×[512, 256]"
20260720T085336Z,prefill,o_proj,Attention,2048,65536,0.154259,0.144067,1.0707,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[2048, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,dsa_prefill_attn,DSA,2048,65536,1.232243,1.213781,1.0152,dropin:dsa_prefill_attn.py,dsa_prefill_attn.py,cuda_graph,True,flash_mla_sparse_fwd s_q=2048 s_kv=65536 topk=2048
20260720T085336Z,prefill,index_k_proj,DSA Indexer,2048,65536,0.084355,0.073819,1.1427,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_q_upproj,DSA Indexer,2048,65536,0.027238,0.017291,1.5753,dropin:index_q_upproj_prefill.py,index_q_upproj_prefill.py,cuda_graph,True,"[2048, 2048]×[2048, 4096]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_weights_proj,DSA Indexer,2048,65536,0.016867,0.012603,1.3383,dropin:index_weights_proj.py,index_weights_proj.py,cuda_event,True,"[2048, 6144]×[6144, 32]  (DeepGEMM BF16->F32)"
20260720T085336Z,prefill,index_score,DSA Indexer,2048,65536,1.194280,1.193597,1.0006,dropin:index_score_prefill.py,index_score_prefill.py,cuda_graph,True,"fp8_mqa_logits q=[2048,32,128] k=[65536,128]"
