run_ts,phase,op,category,M,S,stock_ms,ours_ms,speedup,impl,archive,protocol,same_inputs,shape
20260720T085336Z,decode,o_proj,Attention,16,65536,0.045069,0.022184,2.0316,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[16, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_k_proj,DSA Indexer,16,65536,0.021662,0.008768,2.4706,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[16, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,decode,moe_up_proj,MoE,16,65536,0.037558,0.025224,1.4890,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_down_proj,MoE,16,65536,0.036784,0.024454,1.5042,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x, 2048]×[2048, 6144]"
20260720T085336Z,decode,o_proj,Attention,32,65536,0.046133,0.028194,1.6363,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[32, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,decode,index_k_proj,DSA Indexer,32,65536,0.020896,0.008667,2.4110,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[32, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,decode,moe_up_proj,MoE,32,65536,0.038240,0.025315,1.5106,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x, 6144]×[6144, 2048]"
20260720T085336Z,decode,moe_down_proj,MoE,32,65536,0.036819,0.024616,1.4957,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x, 2048]×[2048, 6144]"
20260720T085336Z,prefill,o_proj,Attention,1024,65536,0.086779,0.076803,1.1299,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[1024, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_k_proj,DSA Indexer,1024,65536,0.085010,0.074018,1.1485,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,moe_up_proj,MoE,1024,65536,0.095638,0.087427,1.0939,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,1024,65536,0.101603,0.094584,1.0742,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,o_proj,Attention,2048,65536,0.154259,0.144067,1.0707,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[2048, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_k_proj,DSA Indexer,2048,65536,0.084355,0.073819,1.1427,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,moe_up_proj,MoE,2048,65536,0.307384,0.298726,1.0290,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,2048,65536,0.318632,0.312019,1.0212,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
20260720T085336Z,prefill,o_proj,Attention,4096,65536,0.693933,0.547549,1.2673,dropin:best/o_proj_decode_hbm35,best/o_proj_decode_hbm35,cuda_graph,True,"[4096, 16384]×[16384, 6144]  (DeepGEMM FP8)"
20260720T085336Z,prefill,index_k_proj,DSA Indexer,4096,65536,0.086347,0.074195,1.1638,dropin:best/index_k_proj_decode,best/index_k_proj_decode,cuda_graph,True,"[65536, 6144]×[6144, 128]  (DeepGEMM FP8)"
20260720T085336Z,prefill,moe_up_proj,MoE,4096,65536,0.327776,0.346224,0.9467,dropin:best/moe_up_proj_decode_hbm40,best/moe_up_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 6144]×[6144, 2048]"
20260720T085336Z,prefill,moe_down_proj,MoE,4096,65536,0.347830,0.379942,0.9155,dropin:best/moe_down_proj_decode_hbm40,best/moe_down_proj_decode_hbm40,cuda_graph,True,"masked [8x expected_m, 2048]×[2048, 6144]"
