op,side,status,exit,geomean,min_sp,worst_reward,M16_us,M32_us,M16_sp,M32_sp,M16_bw,M32_bw,err16,err32
fused_qkv_a_decode,ours,CORRECT,0,3.1456,1.7387,0.1128,17.72,18.28,5.6908,1.7387,0.11506230248306998,0.11280327129005348,,
fused_qkv_a_decode,hcx,CORRECT,0,6.0159,3.5384,0.1938,8.888,10.64,3.5384,10.2281,0.2294060926556215,0.19380831316525293,,
q_b_decode,ours,CORRECT,0,6.8808,6.3767,0.3644,11.704,11.848,6.3767,7.4247,0.36441285030758713,0.36586398835271033,,
q_b_decode,hcx,CORRECT,0,2.5087,2.4918,0.2955,13.68,14.672,2.5257,2.4918,0.3117754385964912,0.2954503816793893,,
moe_gate_proj_decode,ours,CORRECT,0,1.5364,1.5335,0.4139,30.808,30.696,1.5393,1.5335,0.41394418702782526,0.42089206336278856,,
moe_gate_proj_decode,hcx,CORRECT,0,2.1316,2.1213,0.4157,30.68,30.489,2.1213,2.1419,0.4156745762711865,0.4237530912788218,,
moe_up_proj_decode,ours,CORRECT,0,2.2601,2.2584,0.4111,31.024,31.062,2.2584,2.2618,0.41106218522607313,0.4159294325955734,,
moe_up_proj_decode,hcx,CORRECT,0,1.5414,1.5374,0.4167,30.608,30.728,1.5455,1.5374,0.4166557816239351,0.420460593437528,,
index_q_upproj_decode,ours,CORRECT,0,3.3098,3.1226,0.1325,7.144,8.224,3.5083,3.1226,0.1496924099800539,0.13254474708171204,,
index_q_upproj_decode,hcx,CORRECT,0,7.0292,4.9075,0.1446,6.4,7.538,4.9075,10.0682,0.1671,0.14460226179816268,,
dsa_attn_decode,ours,CORRECT,1,0.9992,0.9985,0.1119,44.819,46.4,0.9999,0.9985,0.11186050636724175,0.2160993103448276,,
dsa_attn_decode,hcx,CORRECT,1,1.4529,1.2658,0.1833,27.345,37.088,1.6677,1.2658,0.18334597451041343,0.2703572044866264,,
