campaign_id,evidence_scope,physical_gpu,gpu_uuid,series_id,workload_name,measurement_kind,candidate_label,run_count,reference_marginal_medians_ms,candidate_marginal_medians_ms,paired_speedup_medians,paired_speedup_across_run_median,paired_p10_per_run,paired_p90_per_run,passes_3pct_gate_per_run,all_runs_pass_3pct_gate,source_files
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,isolated_identity,indexer_wk_weights_prefill_m4096,paired_candidate,reference,1,0.025647999718785286,0.026016000658273697,0.982725928598152,0.982725928598152,0.9001097767081313,1.0318877762200462,false,False,isolated_identity.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,isolated_stock,indexer_wk_weights_prefill_m4096,reference_only,stock_reference_only,3,0.02497600018978119;0.027855999767780304;0.025040000677108765,,,,,,,,isolated_stock_01.json;isolated_stock_02.json;isolated_stock_03.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,isolated_torch_mm,indexer_wk_weights_prefill_m4096,paired_candidate,torch_mm_direct,3,0.02953599952161312;0.03086400032043457;0.03136000037193298,0.029680000618100166;0.030896000564098358;0.03215999901294708,0.9911996274565409;0.9812171705030723;0.9972755885782807,0.9911996274565409,0.8810656842734416;0.8725869103327816;0.8509840749945993,1.1405782974902574;1.213203513449718;1.114315110139265,false;false;false,False,isolated_torch_mm_01.json;isolated_torch_mm_02.json;isolated_torch_mm_03.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,region_identity,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,reference,1,0.13260799646377563,0.13353600353002548,0.9997679247385689,0.9997679247385689,0.933666538914823,1.0672127239613627,false,False,region_identity.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,region_stock,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,reference_only,stock_reference_only,3,0.1358560025691986;0.14088000357151031;0.13712000101804733,,,,,,,,region_stock_01.json;region_stock_02.json;region_stock_03.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,region_tgv,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,sglang_cutedsl_tgv_direct,3,0.20016000419855118;0.1494399979710579;0.329024001955986,0.35305599868297577;0.2600799947977066;0.6400319933891296,0.5686687395522514;0.5673364133655683;0.5171080521596634,0.5673364133655683,0.48200075363368866;0.48914131209543116;0.37646351227121283,0.649995651064148;0.6913498450925766;0.7027015200973142,false;false;false,False,region_tgv_01.json;region_tgv_02.json;region_tgv_03.json
exact_bf16_wq_campaign,fixed_model_bf16_wq_exact_config,1,GPU-5b9be10b-5bfc-b658-9b31-f7ae8516dc54,region_torch_mm,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,torch_mm_direct,3,0.16236799955368042;0.173567995429039;0.13504000008106232,0.154448002576828;0.17643199861049652;0.13547199964523315,1.0098631080160683;0.9805409386073944;0.9979410616310771,0.9979410616310771,0.8081409816457025;0.8466526658169532;0.8679322736704582,1.2249513133697671;1.147508757866369;1.1349620286132074,false;false;false,False,region_torch_mm_01.json;region_torch_mm_02.json;region_torch_mm_03.json
exact_single_stream_campaign,fixed_model_preliminary_single_stream_with_linear_adapter,2,GPU-df8b1d78-b06c-39a2-54f0-66b9fabf3a99,region_single_stream,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,stock_bf16_single_stream_schedule,3,0.14369600266218185;0.3784160017967224;0.1401599943637848,0.1481119990348816;0.26260799169540405;0.14825600385665894,0.9745578002113465;1.2017389312574405;0.9714180218062242,0.9745578002113465,0.9019153272738233;0.8998272662037742;0.8205375987943055,1.1839412927031412;1.7336301611010165;1.156332015072715,false;true;false,False,region_single_stream_01.json;region_single_stream_02.json;region_single_stream_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,isolated_identity,indexer_wk_weights_prefill_m4096,paired_candidate,reference,1,0.02521600015461445,0.02566399984061718,0.9906994765815653,0.9906994765815653,0.923718755008183,1.1620111702776987,false,False,isolated_identity.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,isolated_stock,indexer_wk_weights_prefill_m4096,reference_only,stock_reference_only,3,0.03129600081592798;0.026319999247789383;0.02588800061494112,,,,,,,,isolated_stock_01.json;isolated_stock_02.json;isolated_stock_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,isolated_tgv,indexer_wk_weights_prefill_m4096,paired_candidate,sglang_cutedsl_tgv_direct,3,0.03175999969244003;0.033136000856757164;0.03300799988210201,0.09356799721717834;0.09563199803233147;0.09318400174379349,0.3292837941664354;0.3223677442303878;0.36114773315918514,0.3292837941664354,0.2486424589789881;0.2535714384706907;0.2473639178185447,0.4348777936386521;0.4539900763824998;0.4599463481108056,false;false;false,False,isolated_tgv_01.json;isolated_tgv_02.json;isolated_tgv_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,isolated_torch_mm,indexer_wk_weights_prefill_m4096,paired_candidate,torch_mm_direct,3,0.02587199956178665;0.02571200020611286;0.025728000327944756,0.026560000143945217;0.025760000571608543;0.025936000049114227,0.9840240578040619;0.9956304778593068;0.9961832140212037,0.9956304778593068,0.7208029619627794;0.92825109626169;0.879049698970221,1.055989552937895;1.2946210642139373;1.0732356994785803,false;false;false,False,isolated_torch_mm_01.json;isolated_torch_mm_02.json;isolated_torch_mm_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,region_identity,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,reference,1,0.13598399609327316,0.13553600013256073,0.9976252563320965,0.9976252563320965,0.8883149485482882,1.166065947534597,false,False,region_identity.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,region_single_stream,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,stock_bf16_single_stream_schedule,3,0.13921599835157394;0.13603200018405914;0.14025600254535675,0.13996800035238266;0.13607999682426453;0.14369600266218185,1.0127525513021622;0.9854136469809146;0.9784003277996749,0.9854136469809146,0.8927887483716467;0.8438967033511582;0.825092946166266,1.192307708807047;1.0742597398034304;1.1701419791803536,false;false;false,False,region_single_stream_01.json;region_single_stream_02.json;region_single_stream_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,region_stock,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,reference_only,stock_reference_only,3,0.14404799789190292;0.1436159983277321;0.1751680001616478,,,,,,,,region_stock_01.json;region_stock_02.json;region_stock_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,region_tgv,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,sglang_cutedsl_tgv_direct,3,0.15350400656461716;0.15833600610494614;0.14792000502347946,0.2795040011405945;0.28462401032447815;0.26848000288009644,0.5643817942754059;0.562611927630759;0.5535389751688682,0.562611927630759,0.45465994605210325;0.44187228842953896;0.4682117617145048,0.6317603911709779;0.7000614298901684;0.7054097519998244,false;false;false,False,region_tgv_01.json;region_tgv_02.json;region_tgv_03.json
immutable_hardened_campaign,authoritative_fixed_model_immutable,0,GPU-30b619de-87f2-1862-0d07-a595da8fe417,region_torch_mm,indexer_fused_prepare_store_prefill_m4096_eager_dual_stream,paired_candidate,torch_mm_direct,3,0.13449600338935852;0.14123199880123138;0.14100799709558487,0.13409599661827087;0.14550399780273438;0.14243199676275253,1.003540299840511;1.032630373610381;1.0029454436064635,1.003540299840511,0.899364382219908;0.8199393051655922;0.796409291689894,1.106194703434527;1.173849971592405;1.2293132710643655,false;true;false,False,region_torch_mm_01.json;region_torch_mm_02.json;region_torch_mm_03.json
superseded_fp8_wq_backend_campaign,production_exact_isolated_bf16_projection,2,GPU-df8b1d78-b06c-39a2-54f0-66b9fabf3a99,isolated_baseline,indexer_wk_weights_prefill_m4096,reference_only,stock_reference_only,3,0.024960000067949295;0.02595200017094612;0.02590399980545044,,,,,,,,isolated_baseline_01.json;isolated_baseline_02.json;isolated_baseline_03.json
superseded_fp8_wq_backend_campaign,production_exact_isolated_bf16_projection,2,GPU-df8b1d78-b06c-39a2-54f0-66b9fabf3a99,isolated_best,indexer_wk_weights_prefill_m4096,paired_candidate,sglang_cutedsl_tgv_direct,3,0.10145599767565727;0.03511999920010567;0.037087999284267426,0.24513600021600723;0.09443200007081032;0.12139200046658516,0.4052245199213106;0.34408004600254194;0.3146678593456043,0.34408004600254194,0.197256218457361;0.26477024440303937;0.2686440784983923,0.5465150762539494;0.426613802718132;0.36320754112593995,false;false;false,False,isolated_best_01.json;isolated_best_02.json;isolated_best_03.json
