Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.5,81684103,24,3403504.3,288079.5,7296,22661294,6965384.4,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
24.9,64763293,8,8095411.6,8094809.5,768,16193486,8653153.3,"void nvshmemi_init_array_kernel<long>(T1 *, int, T1)"
15.3,39724153,32,1241379.8,110623.5,7200,8361017,2411792.5,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.7,38236446,44,869010.1,46368.0,2176,11152280,2452953.4,"void barrier_on_stream_kernel_threadgroup<(threadgroup_t)1>(int, int)"
12.2,31795342,8,3974417.8,43056.0,5312,20177617,7627348.3,"void deep_ep::internode_ll::dispatch<(bool)1, (bool)1, (int)6144>(void *, void *, int *, long *, int *, int *, long *, void *, int *, void *, const void *, const long *, int *, int *, int *, int, int, int, int, int, int, int, int, int, bool, int)"
0.6,1539485,8,192435.6,192031.5,2784,382911,202703.9,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.4,1072349,20,53617.4,50720.0,24384,103648,24273.0,"void deep_ep::internode_ll::combine<(bool)0, (int)6144, (int)11, (int)4>(void *, void *, int *, void *, const void *, const long *, const float *, const int *, const long *, long *, int *, int, int *, int, int, int, int, int, int, int, int, int, int, bool)"
0.2,622432,12,51869.3,41488.0,11104,119488,38571.9,ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,91616,88,1041.1,1088.0,640,2272,307.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,39040,32,1220.0,1248.0,672,2304,369.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,30400,24,1266.7,1280.0,896,1696,181.5,"void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,25440,4,6360.0,6400.0,6208,6432,105.7,"void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, T1 *)"
0.0,16288,16,1018.0,1008.0,672,1376,251.2,"void nvshmemi_init_array_kernel<nvshmemi_team_creation_pe_info>(T1 *, int, T1)"
0.0,15680,12,1306.7,1360.0,1056,1504,178.9,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,11808,12,984.0,1024.0,704,1216,180.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,9088,4,2272.0,2288.0,2048,2464,207.4,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>, long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,8512,4,2128.0,2208.0,1472,2624,587.4,"void nvshmemi_init_array_kernel<unsigned long>(T1 *, int, T1)"
0.0,7648,4,1912.0,1904.0,1888,1952,30.6,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.0,6304,4,1576.0,1584.0,1376,1760,181.7,"void <unnamed>::softmax_warp_forward<float, float, float, (int)3, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
0.0,6112,4,1528.0,1520.0,1280,1792,269.5,"void nvshmemi_init_array_kernel<unsigned char>(T1 *, int, T1)"
0.0,5088,4,1272.0,1232.0,896,1728,371.7,"void nvshmemi_init_array_kernel<nvshmemi_team_v3 *>(T1 *, int, T1)"

