Generating SQLite file /home/qinhaiyan/glm52-goal-runs/07-moe_w2_decode_kernel/kernel-harness/evidence/glm52_prod_07_moe_w2_decode_kernel/tp4_diagnostic/tp4_20260722T185932Z_1629770_10420/analysis/nsys_ep4_deepep_ll_dispatch_decode_m16.sqlite from /home/qinhaiyan/glm52-goal-runs/07-moe_w2_decode_kernel/kernel-harness/evidence/glm52_prod_07_moe_w2_decode_kernel/tp4_diagnostic/tp4_20260722T185932Z_1629770_10420/profiles/ep4_deepep_ll_dispatch_decode_m16.nsys-rep
Processing [/home/qinhaiyan/glm52-goal-runs/07-moe_w2_decode_kernel/kernel-harness/evidence/glm52_prod_07_moe_w2_decode_kernel/tp4_diagnostic/tp4_20260722T185932Z_1629770_10420/analysis/nsys_ep4_deepep_ll_dispatch_decode_m16.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.0,85359343,32,2667479.5,437039.0,7264,24871885,5878686.5,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
28.8,64765057,8,8095632.1,8094826.0,736,16195502,8653449.1,"void nvshmemi_init_array_kernel<long>(T1 *, int, T1)"
24.9,55976079,24,2332336.6,205776.0,6912,12808759,3814388.2,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
7.2,16131306,44,366620.6,29648.0,2144,5080092,855359.7,"void barrier_on_stream_kernel_threadgroup<(threadgroup_t)1>(int, int)"
0.6,1286238,40,32156.0,18448.0,4736,219967,49110.4,"void deep_ep::internode_ll::dispatch<(bool)1, (bool)1, (int)6144>(void *, void *, int *, long *, int *, int *, long *, void *, int *, void *, const void *, const long *, int *, int *, int *, int, int, int, int, int, int, int, int, int, bool, int)"
0.2,380992,225,1693.3,1728.0,1280,2208,247.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,380287,12,31690.6,31216.0,11008,55712,17701.6,ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,90271,88,1025.8,1088.0,640,2272,313.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,35551,32,1111.0,1152.0,672,1504,255.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,29920,24,1246.7,1232.0,896,1600,166.0,"void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
