Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.1,17504,1,17504.0,17504.0,17504,17504,0.0,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1MultiCtasKvGmemSepVarSeqQ64Kv128StaticKeepsAbForGen
13.7,7968,1,7968.0,7968.0,7968,7968,0.0,kernel_cutlass_kernel_sglangjit_kernelcutedsl_fp8_paged_mqa_logitsFP8MQALogitsKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID10_ShapeMNK1283232_TVLayoutA1_0
13.1,7648,1,7648.0,7648.0,7648,7648,0.0,"void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)12, (unsigned int)128, (unsigned int)128, (unsigned int)2, (bool)1, (unsigned int)148, (bool)1, (bool)1, (deep_gemm::GemmType)0, (bool)0, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
10.9,6336,1,6336.0,6336.0,6336,6336,0.0,"void <unnamed>::topk_main_kernel<(bool)1, (int)0>(<unnamed>::TopKLaunchParams)"
7.8,4544,1,4544.0,4544.0,4544,4544,0.0,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN
7.0,4096,1,4096.0,4096.0,4096,4096,0.0,"void tensorrt_llm::kernels::fmhaReductionKernel<(int)64, (int)512, (bool)1, __nv_bfloat16, __nv_bfloat16>(KernelParams, bool, bool, bool, int, int, int, int)"
4.1,2400,1,2400.0,2400.0,2400,2400,0.0,"void <unnamed>::fused_q_indexer_rope_hadamard_quant<__nv_bfloat16, long, (bool)1, (bool)1, (bool)0>(<unnamed>::FusedQIndexerRopeHadamardQuantParams)"
3.8,2208,1,2208.0,2208.0,2208,2208,0.0,"void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)1, (bool)0, (bool)1, unsigned int>(const T4 *, T5 *, T10 *, const int *, int, int, int, int, int)"
3.6,2112,1,2112.0,2112.0,2112,2112,0.0,"void <unnamed>::fused_k_indexer_norm_rope_store<__nv_bfloat16, long, (bool)1, (int)6>(<unnamed>::FusedKIndexerNormRopeStoreParams)"
3.4,1952,1,1952.0,1952.0,1952,1952,0.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
2.5,1440,1,1440.0,1440.0,1440,1440,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
