Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.4,17504,1,17504.0,17504.0,17504,17504,0.0,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1MultiCtasKvGmemSepVarSeqQ64Kv128StaticKeepsAbForGen
15.0,8928,1,8928.0,8928.0,8928,8928,0.0,"void deep_gemm::sm100_paged_mqa_logits<(bool)0, (unsigned int)1, (unsigned int)32, (unsigned int)128, (unsigned int)64, (bool)1, (bool)0, (unsigned int)3, (unsigned int)5, (unsigned int)256, (unsigned int)16, (unsigned int)128, (unsigned int)256, float, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, const unsigned int *, T14 *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
12.9,7712,1,7712.0,7712.0,7712,7712,0.0,"void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)12, (unsigned int)128, (unsigned int)128, (unsigned int)2, (bool)1, (unsigned int)148, (bool)1, (bool)1, (deep_gemm::GemmType)0, (bool)0, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
10.5,6240,1,6240.0,6240.0,6240,6240,0.0,"void <unnamed>::topk_main_kernel<(bool)1, (int)0>(<unnamed>::TopKLaunchParams)"
7.3,4352,1,4352.0,4352.0,4352,4352,0.0,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN
7.0,4160,1,4160.0,4160.0,4160,4160,0.0,"void tensorrt_llm::kernels::fmhaReductionKernel<(int)64, (int)512, (bool)1, __nv_bfloat16, __nv_bfloat16>(KernelParams, bool, bool, bool, int, int, int, int)"
4.5,2656,1,2656.0,2656.0,2656,2656,0.0,"void <unnamed>::fused_q_indexer_rope_hadamard_quant<__nv_bfloat16, long, (bool)1, (bool)1, (bool)0>(<unnamed>::FusedQIndexerRopeHadamardQuantParams)"
3.8,2272,1,2272.0,2272.0,2272,2272,0.0,"void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)1, (bool)0, (bool)1, unsigned int>(const T4 *, T5 *, T10 *, const int *, int, int, int, int, int)"
3.6,2144,1,2144.0,2144.0,2144,2144,0.0,"void <unnamed>::fused_k_indexer_norm_rope_store<__nv_bfloat16, long, (bool)1, (int)6>(<unnamed>::FusedKIndexerNormRopeStoreParams)"
3.5,2112,1,2112.0,2112.0,2112,2112,0.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
2.6,1536,1,1536.0,1536.0,1536,1536,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
