id	slug	resource	gpu	session
01	dsa_decode_value_path	flex_single	auto	g56u-01-dsa-value
02	dsa_decode_attention	flex_single	auto	g56u-02-dsa-attn
03	dsa_prefill_attention	flex_single	auto	g56u-03-dsa-prefill
04	dsa_decode_score_path	flex_single	auto	g56u-04-dsa-score
05	indexer_k_weights_prefill	flex_single	auto	g56u-05-index-kw
06	moe_w2_decode_pack_launch	flex_multi4	all	g56u-06-w2-launch
07	moe_w2_decode_kernel	flex_multi4	all	g56u-07-w2-kernel
08	moe_w2_prefill	flex_multi4	all	g56u-08-w2-prefill
09	moe_w13_prefill	flex_multi4	all	g56u-09-w13-prefill
10	attn_o_decode_baseline	flex_single	auto	g56u-10-o-base
11	attn_o_decode_packed_port	flex_single	auto	g56u-11-o-packed
12	attn_o_decode_source_tuning	flex_single	auto	g56u-12-o-source
13	attn_o_prefill	flex_single	auto	g56u-13-o-prefill
14	attn_q_b_decode_packed	flex_single	auto	g56u-14-qb-packed
15	indexer_wq_b_decode	flex_single	auto	g56u-15-index-wq
16	indexer_score_decode	flex_single	auto	g56u-16-index-score-d
17	indexer_score_prefill	flex_single	auto	g56u-17-index-score-p
18	moe_w13_decode_scale_path	flex_multi4	all	g56u-18-w13-scale
19	moe_w13_decode_kernel	flex_multi4	all	g56u-19-w13-kernel
20	moe_w13_prefill_graph	flex_multi4	all	g56u-20-w13-graph
21	attn_q_b_decode_source_fork	flex_single	auto	g56u-21-qb-source
22	dsa_flashmla_kv_production	flex_single	auto	g56u-22-flashmla
23	dp_allgather_production	flex_multi4	all	g56u-23-allgather
24	tp_allreduce_reachability	flex_multi4	all	g56u-24-allreduce
25	deepep_dispatch_combine	flex_multi4	all	g56u-25-deepep
