id,op,m,workload,variant,status,candidate,paired_p50_speedup,passes_3pct_gate,ref_p50_ms,cand_p50_ms,correct,error,notes
indexer_wq_b_m16_0720,indexer_wq_b,16,linear_indexer_wq_b_decode_m16,0720,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/0720/indexer_wq_b_packed.py,1.184852,True,0.053728,0.049408,pass,,Serving port of hechenxi index_q_upproj (goal-15 packed)
indexer_wq_b_m16_codex_packed,indexer_wq_b,16,linear_indexer_wq_b_decode_m16,codex,run,archive/codex-goal-ultra-xhigh/goals/15-indexer_wq_b_decode/candidates/indexer_wq_b_packed.py,1.102777,True,0.052064,0.047312,pass,,Codex archive of same packed Triton (byte-identical lineage)
indexer_wq_b_m16_codex_sms,indexer_wq_b,16,linear_indexer_wq_b_decode_m16,codex_alt,requires_goal_runtime,archive/codex-goal-ultra-xhigh/goals/15-indexer_wq_b_decode/candidates/indexer_wq_b_sms_dispatch.py,,,,,n/a,,Needs runtime.indexer_fused_prepare_store (goal-15 runner only)
indexer_wq_b_m32_0720,indexer_wq_b,32,linear_indexer_wq_b_decode_m32,0720,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/0720/indexer_wq_b_packed.py,1.095693,True,0.052240,0.048704,pass,,Serving port of hechenxi index_q_upproj (goal-15 packed)
indexer_wq_b_m32_codex_packed,indexer_wq_b,32,linear_indexer_wq_b_decode_m32,codex,run,archive/codex-goal-ultra-xhigh/goals/15-indexer_wq_b_decode/candidates/indexer_wq_b_packed.py,1.159271,True,0.056816,0.050768,pass,,Codex archive of same packed Triton
indexer_wq_b_m32_codex_sms,indexer_wq_b,32,linear_indexer_wq_b_decode_m32,codex_alt,requires_goal_runtime,archive/codex-goal-ultra-xhigh/goals/15-indexer_wq_b_decode/candidates/indexer_wq_b_sms_dispatch.py,,,,,n/a,,Needs runtime.indexer_fused_prepare_store (goal-15 runner only)
fused_qkv_a_m16_0720,fused_qkv_a,16,linear_fused_qkv_a_decode_m16,0720,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/0720/fused_qkv_a_packed.py,1.065979,True,0.053024,0.053040,pass,,New packed Triton port for N=2624 K=6144
fused_qkv_a_m32_0720,fused_qkv_a,32,linear_fused_qkv_a_decode_m32,0720,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/0720/fused_qkv_a_packed.py,1.049809,True,0.053168,0.053648,pass,,New packed Triton port for N=2624 K=6144
q_b_m16_0720,q_b,16,linear_attn_q_b_decode_m16,0720,absorbed_in_stock,,,,,,n/a,,0720 win was fp8_gemm_nt_fused f32→UE8M0 pack; production already packed
q_b_m16_codex,q_b,16,linear_attn_q_b_decode_m16,codex,run,archive/codex-goal-ultra-xhigh/goals/14-attn_q_b_decode_packed/candidates/q_b_packed_warp.py,1.507153,True,0.053024,0.035888,pass,,DeepGEMM fp8_gemm_nt_packed_warp overlay (goal-14 manifest)
q_b_m32_0720,q_b,32,linear_attn_q_b_decode_m32,0720,absorbed_in_stock,,,,,,n/a,,0720 win was fp8_gemm_nt_fused f32→UE8M0 pack; production already packed
q_b_m32_codex,q_b,32,linear_attn_q_b_decode_m32,codex,run,archive/codex-goal-ultra-xhigh/goals/14-attn_q_b_decode_packed/candidates/q_b_packed_warp.py,1.348818,True,0.064928,0.046464,pass,,DeepGEMM fp8_gemm_nt_packed_warp overlay (goal-14 manifest)
moe_w13_m16_0720,moe_w13,16,moe_w13_grouped_decode_m16,0720,absorbed_in_stock,,,,,,n/a,,0720 had separate moe_gate/up + pack; production is fused W13 packed
moe_w13_m16_codex,moe_w13,16,moe_w13_grouped_decode_m16,codex,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/codex/moe_w13_deepgemm_overlay_mainline.py,1.053089,True,0.267360,0.257136,pass,,Mainline-adapted goal-19 W13 DeepGEMM overlay
moe_w13_m32_0720,moe_w13,32,moe_w13_grouped_decode_m32,0720,absorbed_in_stock,,,,,,n/a,,0720 had separate moe_gate/up + pack; production is fused W13 packed
moe_w13_m32_codex,moe_w13,32,moe_w13_grouped_decode_m32,codex,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/codex/moe_w13_deepgemm_overlay_mainline.py,1.067575,True,0.307456,0.278128,pass,,Mainline-adapted goal-19 W13 DeepGEMM overlay
moe_w2_m16_0720,moe_w2,16,moe_w2_grouped_decode_m16,0720,absorbed_in_stock,,,,,,n/a,,0720 moe_down pack already in production packed path
moe_w2_m16_codex,moe_w2,16,moe_w2_grouped_decode_m16,codex,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/codex/moe_w2_direct_launch_mainline.py,1.069584,True,0.280096,0.256992,pass,,Mainline-adapted goal-06 direct DeepGEMM launch
moe_w2_m32_0720,moe_w2,32,moe_w2_grouped_decode_m32,0720,absorbed_in_stock,,,,,,n/a,,0720 moe_down pack already in production packed path
moe_w2_m32_codex,moe_w2,32,moe_w2_grouped_decode_m32,codex,run,archive/serving_bakeoff_0720_vs_codex/serving_ports/codex/moe_w2_direct_launch_mainline.py,1.035428,True,0.200224,0.193568,pass,,Mainline-adapted goal-06 direct DeepGEMM launch
dsa_m16_0720,dsa,16,dsa_trtllm_decode_m16,0720,already_stock,,,,,,n/a,,hechenxi dsa_decode_attn is flashinfer trtllm-gen; same as serving stock
dsa_m32_0720,dsa,32,dsa_trtllm_decode_m32,0720,already_stock,,,,,,n/a,,hechenxi dsa_decode_attn is flashinfer trtllm-gen; same as serving stock
o_proj_m16_0720,o_proj,16,linear_attn_o_decode_m16,0720,absorbed_in_stock,,,,,,n/a,,0720 win was scale_pack.cu + packed gemm; production already packed
