group,attr,backend,bf16_GBs,bf16_TFLOPS,bf16_us,dense_TFLOPS,dense_us,fp8_TFLOPS,fp8_us,name,note,op_id,phase,score_TFLOPS,score_us,shape,sparse_TFLOPS,sparse_us,topk_eff,topk_us,total_us
linear,fused_qkv_a_proj_with_mqa,,118.57,196.02,2694.98,,,207.79,2542.39,Q_a (fused w/ KV_a),,1,prefill,,,"[16384,6144]x[6144,2624]",,,,,
linear,fused_qkv_a_proj_with_mqa,,13.62,0.22,2388.68,,,0.22,2385.36,Q_a (fused w/ KV_a),,14,decode,,,"[16,6144]x[6144,2624]",,,,,
linear,q_b_proj,,57.85,55.75,2465.24,,,56.63,2427.0,Q_b,,2,prefill,,,"[16384,2048]x[2048,2048]",,,,,
linear,q_b_proj,,28.27,0.45,2394.57,,,0.45,2386.2,Q_b,,15,decode,,,"[16,2048]x[2048,16384]",,,,,
linear,kv_b_proj,,56.8,24.77,2427.45,,,24.9,2414.93,KV_b,,4,prefill,,,"[16384,512]x[512,3584]",,,,,
linear,o_proj,,111.97,157.24,2622.16,,,164.46,2507.14,O_proj,,5,prefill,,,"[16384,2048]x[2048,6144]",,,,,
linear,o_proj,,83.32,1.33,2425.1,,,1.34,2403.82,O_proj,,19,decode,,,"[16,16384]x[16384,6144]",,,,,
linear,Indexer.wq_b,,134.44,287.3,2870.27,,,313.85,2627.52,Index_Q,,6,prefill,,,"[16384,6144]x[6144,4096]",,,,,
linear,Indexer.wq_b,,21.16,0.34,2393.93,,,0.34,2387.69,Index_Q,,20,decode,,,"[16,6144]x[6144,4096]",,,,,
linear,Indexer.wk,,85.37,10.62,2425.8,,,10.72,2403.17,Index_K,,7,prefill,,,"[16384,6144]x[6144,128]",,,,,
linear,Indexer.wk,,0.74,0.01,2383.03,,,0.01,2382.68,Index_K,,21,decode,,,"[16,6144]x[6144,128]",,,,,
linear,shared_experts.gate_up_proj,,153.64,397.46,3112.15,,,449.62,2751.08,Dense GateUp,,9,prefill,,,"[16384,6144]x[6144,6144]",,,,,
linear,shared_experts.down_proj,,105.52,120.62,2563.76,,,124.79,2478.16,Dense Down,,10,prefill,,,"[16384,1536]x[1536,6144]",,,,,
linear,mlp.gate (MoEGate),,87.61,21.21,2429.6,,,21.42,2406.54,MoE Router,,11,prefill,,,"[16384,6144]x[6144,256]",,,,,
linear,mlp.gate (MoEGate),,1.41,0.02,2376.53,,,0.02,2376.59,MoE Router,,23,decode,,,"[16,6144]x[6144,256]",,,,,
grouped,,,,276.87,2978.42,,,,,MoE GateUp GroupGEMM,,12,prefill,,,"256x[512,6144]x[6144,512]",,,,,
grouped,,,,148.25,2781.19,,,,,MoE Down GroupGEMM,,13,prefill,,,"256x[512,256]x[256,6144]",,,,,
grouped,,,,2.63,2447.97,,,,,MoE GateUp GroupGEMM,,24,decode,,,"8x[16,6144]x[6144,4096]",,,,,
grouped,,,,1.33,2413.87,,,,,MoE Down GroupGEMM,,25,decode,,,"8x[16,2048]x[2048,6144]",,,,,
bmm,,,,0.08,2375.21,,,,,q_nope absorb BMM,w_kc precomputed from kv_b_proj; torch.bmm is the actual path (bf16),17,decode,,,"[16,64,192]x[64,192,512]",,,,,
bmm,,,,0.11,2376.92,,,,,v absorb BMM,w_vc precomputed from kv_b_proj,18,decode,,,"[16,64,512]x[64,512,256]",,,,,
indexer,,,,,,,,,,Index_Score (ragged prefill),deep_gemm.fp8_mqa_logits + topk_transform,8,prefill,24.6,89389.92,"Q:[16384,32,128] K:[16384,128] topk=2048",,,2048,7328.44,96718.36
indexer,,,,,,,,,,Index_Score (paged decode),deep_gemm.fp8_paged_mqa_logits + topk,22,decode,0.11,2397.76,"Q:[16,32,128] K:[2048,128] topk=2048",,,2048,2401.18,4798.95
attention,,torch SDPA fp16 (proxy for flashmla_sparse_fwd),,,,5.37,3197.81,,,Flash Decoding MLA sparse MQA,"q_absorbed [B,H_q,T_q,D]; MQA (1 KV head); topk=2048 out of T_kv_full",26,decode,,,"Q:[1,64,16,512] KV[1,1,8192,512] topk=2048",1.54,2786.2,,,
