模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,input,Token Embedding,Prefill,BF16,reference,,ref,"ids[16384] -> [16384,7168] vocab=163840",242.29,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding,无 Triton 路径,
Kimi-K2.7,input,Token Embedding,Decode,BF16,reference,,ref,"ids[16] -> [16,7168] vocab=163840",55.41,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding,无 Triton 路径,
Kimi-K2.7,all_layers,Input RMSNorm,Prefill,BF16,reference,,ref,"[16384,7168]",167.75,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,无 Triton 路径,
Kimi-K2.7,all_layers,Input RMSNorm,Decode,BF16,reference,,ref,"[16,7168]",49.41,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,无 Triton 路径,
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,reference,,ref,"[16384,7168]×[7168,4608]",1044.69,1036.04,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,512,"[512,7168]x[7168,4608] aligned(7168,4608)",61.77,547.59,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,1024,"[1024,7168]x[7168,4608] aligned(7168,4608)",72.0,939.49,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,7168]x[7168,4608] aligned(7168,4608)",149.28,906.27,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,7168]x[7168,4608] aligned(7168,4608)",247.47,1093.38,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,7168]x[7168,4608] aligned(7168,4608)",435.06,1243.88,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
