# GPU: NVIDIA H800  Cap: (9, 0)  torch=2.5.1+cu124  cuda=12.4


### linear ########################################################################################################################################
# GPU: NVIDIA H800  Cap: (9, 0)  torch=2.5.1+cu124  cuda=12.4
#--------------------------------------------------------------------------------------------------------------------------------------------
   1 | Q_a (fused w/ KV_a)                | prefill  | F.linear bf16+fp8                | [16384,6144]x[6144,2624]                     |     762.37 us | TFLOPS_bf16=692.94 GB/s=419.16 fp8_TFLOPS=1190.99
  14 | Q_a (fused w/ KV_a)                | decode   | F.linear bf16+fp8                | [16,6144]x[6144,2624]                        |      28.15 us | TFLOPS_bf16=18.33 GB/s=1155.39 fp8_TFLOPS=14.95
   2 | Q_b                                | prefill  | F.linear bf16+fp8                | [16384,2048]x[2048,2048]                     |     205.33 us | TFLOPS_bf16=669.37 GB/s=694.54 fp8_TFLOPS=955.6
  15 | Q_b                                | decode   | F.linear bf16+fp8                | [16,2048]x[2048,16384]                       |      49.94 us | TFLOPS_bf16=21.5 GB/s=1355.52 fp8_TFLOPS=29.05
   4 | KV_b                               | prefill  | F.linear bf16+fp8                | [16384,512]x[512,3584]                       |     113.74 us | TFLOPS_bf16=528.65 GB/s=1212.3 fp8_TFLOPS=535.3
   5 | O_proj                             | prefill  | F.linear bf16+fp8                | [16384,2048]x[2048,6144]                     |     554.85 us | TFLOPS_bf16=743.12 GB/s=529.16 fp8_TFLOPS=1123.08
  19 | O_proj                             | decode   | F.linear bf16+fp8                | [16,16384]x[16384,6144]                      |      88.90 us | TFLOPS_bf16=36.23 GB/s=2272.62 fp8_TFLOPS=48.22
   6 | Index_Q                            | prefill  | F.linear bf16+fp8                | [16384,6144]x[6144,4096]                     |    1133.59 us | TFLOPS_bf16=727.46 GB/s=340.4 fp8_TFLOPS=1245.33
  20 | Index_Q                            | decode   | F.linear bf16+fp8                | [16,6144]x[6144,4096]                        |      43.59 us | TFLOPS_bf16=18.47 GB/s=1162.09 fp8_TFLOPS=23.21
   7 | Index_K                            | prefill  | F.linear bf16+fp8                | [16384,6144]x[6144,128]                      |      95.56 us | TFLOPS_bf16=269.67 GB/s=2167.18 fp8_TFLOPS=403.99
  21 | Index_K                            | decode   | F.linear bf16+fp8                | [16,6144]x[6144,128]                         |      20.92 us | TFLOPS_bf16=1.2 GB/s=84.79 fp8_TFLOPS=0.75
   9 | Dense GateUp                       | prefill  | F.linear bf16+fp8                | [16384,6144]x[6144,6144]                     |    1671.98 us | TFLOPS_bf16=739.81 GB/s=285.98 fp8_TFLOPS=1287.47
  10 | Dense Down                         | prefill  | F.linear bf16+fp8                | [16384,1536]x[1536,6144]                     |     430.74 us | TFLOPS_bf16=717.92 GB/s=628.06 fp8_TFLOPS=1035.15
