Metric                                                                                               stock_combine_m16  combine32_combine_m16
---------------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                                  128                    128
launch__block_size                                                                                                 256                    256
launch__grid_dim_x                                                                                                  16                     16
launch__grid_dim_y                                                                                                   1                      1
launch__grid_dim_z                                                                                                   8                      8
launch__block_dim_x                                                                                                256                    256
launch__waves_per_multiprocessor                                                                                 0.173                  0.173
launch__registers_per_thread                                                                                        48                     48
launch__shared_mem_per_block                                                                                      6144                   2048
launch__thread_count                                                                                         3.277e+04              3.277e+04
launch__occupancy_limit_blocks                                                                                      32                     32
launch__occupancy_limit_registers                                                                                    5                      5
launch__occupancy_limit_shared_mem                                                                                  10                     16
launch__occupancy_limit_warps                                                                                        8                      8
device__attribute_multiprocessor_count                                                                             148                    148
device__attribute_max_warps_per_multiprocessor                                                                      64                     64
gpu__time_duration.sum                                                                                       1.101e+04              1.078e+04
smsp__cycles_active.avg                                                                                      1.049e+04              1.049e+04
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                                 4.382                  3.765
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                                 20.01                  20.44
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                          10.44                  10.68
l1tex__throughput.avg.pct_of_peak_sustained_active                                                               11.77                  10.88
sm__maximum_warps_per_active_cycle_pct                                                                            62.5                   62.5
sm__warps_active.avg.pct_of_peak_sustained_active                                                                11.77                  11.81
sm__warps_active.avg.per_cycle_active                                                                            7.534                  7.557
sm__warps_active.max.per_cycle_active                                                                            9.084                  9.191
sm__warps_active.min.per_cycle_active                                                                                0                      0
smsp__warps_active.avg.per_cycle_active                                                                          1.922                   1.99
smsp__warps_eligible.avg.per_cycle_active                                                                      0.09949                 0.0833
smsp__warps_eligible.max.per_cycle_active                                                                       0.1245                 0.1099
sm__inst_executed.avg.per_cycle_active                                                                          0.3419                 0.2906
smsp__issue_active.avg.per_cycle_active                                                                        0.08736                0.07665
smsp__issue_active.avg.pct_of_peak_sustained_active                                                              8.736                  7.665
smsp__inst_executed.avg                                                                                          916.8                  804.3
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                       3.79                  3.312
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                     1.943                  1.716
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                      4.323                  3.405
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                       4.71                  4.061
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                     2.414                  2.105
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                       3.871                  2.749
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                      2.083                  1.626
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                       0                      0
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                                      0                      0
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                       0                      0
dram__bytes_read.sum                                                                                         1.682e+07              1.682e+07
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                               20.01                  20.44
dram__bytes_read.sum.per_second                                                                              1.528e+12              1.559e+12
dram__bytes_write.sum                                                                                                0                      0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                                  0                      0
dram__sectors_read.sum                                                                                       5.256e+05              5.255e+05
dram__sectors_write.sum                                                                                              0                      0
l1tex__t_sector_hit_rate.pct                                                                                     1.752                  1.748
lts__t_sector_hit_rate.pct                                                                                      0.4448                 0.4011
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                           1.697                  1.697
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                           2.628                  2.557
smsp__sass_inst_executed_op_global_ld.sum                                                                    3.584e+04              3.584e+04
smsp__sass_inst_executed_op_global_st.sum                                                                         5120                   5120
