Metric                                                                                               stock_main_m16      stock_main_m32
---------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               148                 148
launch__block_size                                                                                              384                 384
launch__grid_dim_x                                                                                                1                   1
launch__grid_dim_y                                                                                              148                 148
launch__grid_dim_z                                                                                                1                   1
launch__block_dim_x                                                                                             384                 384
launch__waves_per_multiprocessor                                                                                  1                   1
launch__registers_per_thread                                                                                    168                 168
launch__shared_mem_per_block                                                                              2.327e+05           2.327e+05
launch__thread_count                                                                                      5.683e+04           5.683e+04
launch__occupancy_limit_blocks                                                                                   32                  32
launch__occupancy_limit_registers                                                                                 1                   1
launch__occupancy_limit_shared_mem                                                                                1                   1
launch__occupancy_limit_warps                                                                                     5                   5
device__attribute_multiprocessor_count                                                                          148                 148
device__attribute_max_warps_per_multiprocessor                                                                   64                  64
gpu__time_duration.sum                                                                                    2.304e+04           3.043e+04
smsp__cycles_active.avg                                                                                   2.956e+04           4.123e+04
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              14.42               19.78
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              17.63               23.29
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                       17.63               23.29
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            25.41               32.28
sm__maximum_warps_per_active_cycle_pct                                                                        18.75               18.75
sm__warps_active.avg.pct_of_peak_sustained_active                                                             18.75               18.62
sm__warps_active.avg.per_cycle_active                                                                            12               11.92
sm__warps_active.max.per_cycle_active                                                                         13.97               13.99
sm__warps_active.min.per_cycle_active                                                                         2.482               1.914
smsp__warps_active.avg.per_cycle_active                                                                       2.983               2.951
smsp__warps_eligible.avg.per_cycle_active                                                                    0.2124              0.2883
smsp__warps_eligible.max.per_cycle_active                                                                    0.2748              0.3775
sm__inst_executed.avg.per_cycle_active                                                                       0.7477              0.9594
smsp__issue_active.avg.per_cycle_active                                                                      0.1844              0.2382
smsp__issue_active.avg.pct_of_peak_sustained_active                                                           18.44               23.82
smsp__inst_executed.avg                                                                                        5497                9797
