===== combine32_combine_m16 =====
Kernel: flash_fwd_mla_combine_kernel

launch__grid_size                                                                               = 128
launch__block_size                                                                              = 256
launch__grid_dim_x                                                                              = 16
launch__grid_dim_y                                                                              = 1
launch__grid_dim_z                                                                              = 8
launch__block_dim_x                                                                             = 256
launch__waves_per_multiprocessor                                                                = 0.17297297297297298
launch__registers_per_thread                                                                    = 48
launch__shared_mem_per_block                                                                    = 2048
launch__thread_count                                                                            = 32768
launch__occupancy_limit_blocks                                                                  = 32.0
launch__occupancy_limit_registers                                                               = 5.0
launch__occupancy_limit_shared_mem                                                              = 16.0
launch__occupancy_limit_warps                                                                   = 8.0
device__attribute_multiprocessor_count                                                          = 148
device__attribute_max_warps_per_multiprocessor                                                  = 64
gpu__time_duration.sum                                                                          = 10784.0
smsp__cycles_active.avg                                                                         = 10494.059121621622
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                = 3.7645463474982406
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                = 20.437745006533508
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                         = 10.678263388766254
l1tex__throughput.avg.pct_of_peak_sustained_active                                              = 10.877629113266737
sm__maximum_warps_per_active_cycle_pct                                                          = 62.5
sm__warps_active.avg.pct_of_peak_sustained_active                                               = 11.808493403457259
sm__warps_active.avg.per_cycle_active                                                           = 7.557435778212646
sm__warps_active.max.per_cycle_active                                                           = 9.190954672680776
sm__warps_active.min.per_cycle_active                                                           = 0.0
smsp__warps_active.avg.per_cycle_active                                                         = 1.990491724484397
smsp__warps_eligible.avg.per_cycle_active                                                       = 0.08329632451308117
smsp__warps_eligible.max.per_cycle_active                                                       = 0.10987168898490346
sm__inst_executed.avg.per_cycle_active                                                          = 0.29055175910857434
smsp__issue_active.avg.per_cycle_active                                                         = 0.07664568257168672
smsp__issue_active.avg.pct_of_peak_sustained_active                                             = 7.664568257168672
smsp__inst_executed.avg                                                                         = 804.3243243243244
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                     = 3.311665211345041
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                    = 1.7163093025153267
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                     = 3.4053915852510332
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                     = 4.061476202592975
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                    = 2.1049076351603064
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                      = 2.749306967909091
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                     = 1.6255667974320438
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                  = 0.0
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                 = 0.0
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                  = 0.0
dram__bytes_read.sum                                                                            = 16816896.0
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                              = 20.437745006533508
dram__bytes_read.sum.per_second                                                                 = 1559430267062.3145
dram__bytes_write.sum                                                                           = 0.0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                             = 0.0
dram__sectors_read.sum                                                                          = 525528.0
dram__sectors_write.sum                                                                         = 0.0
l1tex__t_sector_hit_rate.pct                                                                    = 1.7479588963963966
lts__t_sector_hit_rate.pct                                                                      = 0.4011179901877545
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                          = 1.697198275862069
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                          = 2.5568181818181817
smsp__sass_inst_executed_op_global_ld.sum                                                       = 35840.0
smsp__sass_inst_executed_op_global_st.sum                                                       = 5120.0
smsp__sass_inst_executed_op_local_ld.sum                                                        = 0.0
smsp__sass_inst_executed_op_local_st.sum                                                        = 0.0
smsp__sass_inst_executed_op_shared.sum                                                          = 9216.0
smsp__sass_inst_executed_op_shared_ld.sum                                                       = 8192.0
smsp__sass_inst_executed_op_shared_st.sum                                                       = 1024.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                  = 534528.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                       = 9072.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                      = 525456.0
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                  = 33792.0
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                 = 35840.0
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                 = 5120.0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                 = 31.151515151515152
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                        = 18.919440944220426
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                       = 2.0109984038978492
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                   = 1.753784442204301
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                = 0.0
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                 = 0.0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                     = 0.03585349462365591
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                           = 0.024225050403225805
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                            = 0.0
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                           = 0.08478452620967741
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                       = 0.1209005376344086
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                         = 0.12996051747311826
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                  = 0.0735362063172043
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                         = 1.3007581485215054
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                               = 0.0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                   = 0.0
smsp__pcsamp_sample_count                                                                       = 400
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                = 291
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                               = 26
smsp__pcsamp_warps_issue_stalled_wait                                                           = 25
smsp__pcsamp_warps_issue_stalled_barrier                                                        = 0
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                             = 1
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                   = 0
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                    = 0
smsp__pcsamp_warps_issue_stalled_not_selected                                                   = 0
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                 = 8
smsp__pcsamp_warps_issue_stalled_drain                                                          = 1
smsp__pcsamp_warps_issue_stalled_no_instructions                                                = 21
smsp__pcsamp_warps_issue_stalled_selected                                                       = 25
smsp__pcsamp_warps_issue_stalled_branch_resolving                                               = 2
smsp__pcsamp_warps_issue_stalled_membar                                                         = 0
