===== stock_combine_m16 =====
Kernel: flash_fwd_mla_combine_kernel

launch__grid_size                                                                               = 128
launch__block_size                                                                              = 256
launch__grid_dim_x                                                                              = 16
launch__grid_dim_y                                                                              = 1
launch__grid_dim_z                                                                              = 8
launch__block_dim_x                                                                             = 256
launch__waves_per_multiprocessor                                                                = 0.17297297297297298
launch__registers_per_thread                                                                    = 48
launch__shared_mem_per_block                                                                    = 6144
launch__thread_count                                                                            = 32768
launch__occupancy_limit_blocks                                                                  = 32.0
launch__occupancy_limit_registers                                                               = 5.0
launch__occupancy_limit_shared_mem                                                              = 10.0
launch__occupancy_limit_warps                                                                   = 8.0
device__attribute_multiprocessor_count                                                          = 148
device__attribute_max_warps_per_multiprocessor                                                  = 64
gpu__time_duration.sum                                                                          = 11008.0
smsp__cycles_active.avg                                                                         = 10493.815878378378
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                = 4.381964701414062
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                = 20.013404009017243
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                         = 10.43848694708132
l1tex__throughput.avg.pct_of_peak_sustained_active                                              = 11.766551536863169
sm__maximum_warps_per_active_cycle_pct                                                          = 62.5
sm__warps_active.avg.pct_of_peak_sustained_active                                               = 11.77258616464024
sm__warps_active.avg.per_cycle_active                                                           = 7.534455145369753
sm__warps_active.max.per_cycle_active                                                           = 9.084056517350746
sm__warps_active.min.per_cycle_active                                                           = 0.0
smsp__warps_active.avg.per_cycle_active                                                         = 1.921871134205651
smsp__warps_eligible.avg.per_cycle_active                                                       = 0.09948571705439771
smsp__warps_eligible.max.per_cycle_active                                                       = 0.12454954567031838
sm__inst_executed.avg.per_cycle_active                                                          = 0.3419367764747095
smsp__issue_active.avg.per_cycle_active                                                         = 0.08736162015627287
smsp__issue_active.avg.pct_of_peak_sustained_active                                             = 8.736162015627286
smsp__inst_executed.avg                                                                         = 916.7567567567568
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                     = 3.790336909035695
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                    = 1.9429466128911408
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                     = 4.322596985623686
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                     = 4.709695223142225
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                    = 2.414214514741332
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                      = 3.8709823751853905
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                     = 2.0834252145610432
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                  = 0.0
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                 = 0.0
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                  = 0.0
dram__bytes_read.sum                                                                            = 16818176.0
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                              = 20.013404009017243
dram__bytes_read.sum.per_second                                                                 = 1527813953488.372
dram__bytes_write.sum                                                                           = 0.0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                             = 0.0
dram__sectors_read.sum                                                                          = 525568.0
dram__sectors_write.sum                                                                         = 0.0
l1tex__t_sector_hit_rate.pct                                                                    = 1.752357826576577
lts__t_sector_hit_rate.pct                                                                      = 0.44481371990966007
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                          = 1.697198275862069
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                          = 2.627840909090909
smsp__sass_inst_executed_op_global_ld.sum                                                       = 35840.0
smsp__sass_inst_executed_op_global_st.sum                                                       = 5120.0
smsp__sass_inst_executed_op_local_ld.sum                                                        = 0.0
smsp__sass_inst_executed_op_local_st.sum                                                        = 0.0
smsp__sass_inst_executed_op_shared.sum                                                          = 13312.0
smsp__sass_inst_executed_op_shared_ld.sum                                                       = 8192.0
smsp__sass_inst_executed_op_shared_st.sum                                                       = 5120.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                  = 534528.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                       = 9072.0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                      = 525456.0
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                  = 33792.0
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                 = 35840.0
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                 = 5120.0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                 = 31.151515151515152
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                        = 15.49931272110849
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                       = 1.7418189858490567
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                   = 1.618886350235849
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                = 0.0
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                 = 0.0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                     = 0.07497973172169811
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                           = 0.06529333726415094
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                            = 0.0
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                           = 0.0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                           = 0.13619545990566037
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                       = 0.1070201945754717
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                         = 0.12176997346698114
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                  = 0.06519383844339623
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio                         = 1.1588590801886791
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio                               = 0.0
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio                                   = 0.0
smsp__pcsamp_sample_count                                                                       = 402
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                = 288
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                               = 29
smsp__pcsamp_warps_issue_stalled_wait                                                           = 38
smsp__pcsamp_warps_issue_stalled_barrier                                                        = 0
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                             = 0
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                   = 0
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                    = 0
smsp__pcsamp_warps_issue_stalled_not_selected                                                   = 0
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                 = 2
smsp__pcsamp_warps_issue_stalled_drain                                                          = 3
smsp__pcsamp_warps_issue_stalled_no_instructions                                                = 23
smsp__pcsamp_warps_issue_stalled_selected                                                       = 18
smsp__pcsamp_warps_issue_stalled_branch_resolving                                               = 1
smsp__pcsamp_warps_issue_stalled_membar                                                         = 0
