Metric                                                                                               stock_combine_m16  combine32_combine_m16
---------------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                                  128                    128
launch__block_size                                                                                                 256                    256
launch__grid_dim_x                                                                                                  16                     16
launch__grid_dim_y                                                                                                   1                      1
launch__grid_dim_z                                                                                                   8                      8
launch__block_dim_x                                                                                                256                    256
launch__waves_per_multiprocessor                                                                                 0.173                  0.173
launch__registers_per_thread                                                                                        48                     48
launch__shared_mem_per_block                                                                                      6144                   2048
launch__thread_count                                                                                         3.277e+04              3.277e+04
launch__occupancy_limit_blocks                                                                                      32                     32
launch__occupancy_limit_registers                                                                                    5                      5
launch__occupancy_limit_shared_mem                                                                                  10                     16
launch__occupancy_limit_warps                                                                                        8                      8
device__attribute_multiprocessor_count                                                                             148                    148
device__attribute_max_warps_per_multiprocessor                                                                      64                     64
gpu__time_duration.sum                                                                                       1.075e+04              1.091e+04
smsp__cycles_active.avg                                                                                      1.033e+04              1.032e+04
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                                 4.351                  3.621
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                                 20.49                  20.19
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                          10.64                  10.51
l1tex__throughput.avg.pct_of_peak_sustained_active                                                               11.45                  11.02
sm__maximum_warps_per_active_cycle_pct                                                                            62.5                   62.5
sm__warps_active.avg.pct_of_peak_sustained_active                                                                11.29                  12.28
sm__warps_active.avg.per_cycle_active                                                                            7.225                  7.862
sm__warps_active.max.per_cycle_active                                                                             8.82                  9.736
sm__warps_active.min.per_cycle_active                                                                                0                      0
smsp__warps_active.avg.per_cycle_active                                                                          1.923                  2.078
smsp__warps_eligible.avg.per_cycle_active                                                                       0.1012                0.08428
smsp__warps_eligible.max.per_cycle_active                                                                       0.1307                 0.1086
sm__inst_executed.avg.per_cycle_active                                                                           0.333                 0.2944
smsp__issue_active.avg.per_cycle_active                                                                        0.08879                0.07793
smsp__issue_active.avg.pct_of_peak_sustained_active                                                              8.879                  7.793
smsp__inst_executed.avg                                                                                          916.8                  804.3
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                      3.691                  3.356
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                     1.929                  1.651
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                      4.209                  3.451
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                      4.586                  4.115
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                     2.397                  2.025
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                       3.769                  2.786
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                      2.021                  1.651
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                       0                      0
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                                      0                      0
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                       0                      0
dram__bytes_read.sum                                                                                         1.682e+07              1.682e+07
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                               20.49                  20.19
dram__bytes_read.sum.per_second                                                                              1.564e+12              1.541e+12
dram__bytes_write.sum                                                                                                0                      0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                                  0                      0
dram__sectors_read.sum                                                                                       5.256e+05              5.255e+05
dram__sectors_write.sum                                                                                              0                      0
l1tex__t_sector_hit_rate.pct                                                                                     1.753                  1.745
lts__t_sector_hit_rate.pct                                                                                      0.5054                 0.4702
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                           1.697                  1.697
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                            2.61                   2.48
smsp__sass_inst_executed_op_global_ld.sum                                                                    3.584e+04              3.584e+04
smsp__sass_inst_executed_op_global_st.sum                                                                         5120                   5120
