Metric                                                                                               stock_main_m16      stock_main_m32
---------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               148                 148
launch__block_size                                                                                              384                 384
launch__grid_dim_x                                                                                                1                   1
launch__grid_dim_y                                                                                              148                 148
launch__grid_dim_z                                                                                                1                   1
launch__block_dim_x                                                                                             384                 384
launch__waves_per_multiprocessor                                                                                  1                   1
launch__registers_per_thread                                                                                    168                 168
launch__shared_mem_per_block                                                                              2.327e+05           2.327e+05
launch__thread_count                                                                                      5.683e+04           5.683e+04
launch__occupancy_limit_blocks                                                                                   32                  32
launch__occupancy_limit_registers                                                                                 1                   1
launch__occupancy_limit_shared_mem                                                                                1                   1
launch__occupancy_limit_warps                                                                                     5                   5
device__attribute_multiprocessor_count                                                                          148                 148
device__attribute_max_warps_per_multiprocessor                                                                   64                  64
gpu__time_duration.sum                                                                                    2.272e+04           2.998e+04
smsp__cycles_active.avg                                                                                   2.985e+04           4.117e+04
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              14.21               20.07
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              17.32               23.62
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                       17.32               23.62
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            25.28               32.24
sm__maximum_warps_per_active_cycle_pct                                                                        18.75               18.75
sm__warps_active.avg.pct_of_peak_sustained_active                                                             18.45               18.56
sm__warps_active.avg.per_cycle_active                                                                         11.81               11.88
sm__warps_active.max.per_cycle_active                                                                         13.94               14.11
sm__warps_active.min.per_cycle_active                                                                         2.581               1.916
smsp__warps_active.avg.per_cycle_active                                                                       2.911               2.947
smsp__warps_eligible.avg.per_cycle_active                                                                    0.2094               0.289
smsp__warps_eligible.max.per_cycle_active                                                                    0.2701              0.3796
sm__inst_executed.avg.per_cycle_active                                                                       0.7372              0.9608
smsp__issue_active.avg.per_cycle_active                                                                       0.183              0.2393
smsp__issue_active.avg.pct_of_peak_sustained_active                                                            18.3               23.93
smsp__inst_executed.avg                                                                                        5430                9819
