Metric                                                                                                        stock           candidate
---------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               148                 148
launch__block_size                                                                                              256                 256
launch__grid_dim_x                                                                                              148                 148
launch__grid_dim_y                                                                                                1                   1
launch__grid_dim_z                                                                                                1                   1
launch__block_dim_x                                                                                             256                 256
launch__waves_per_multiprocessor                                                                                  1                   1
launch__registers_per_thread                                                                                     36                  36
launch__shared_mem_per_block                                                                              2.148e+05            2.24e+05
launch__thread_count                                                                                      3.789e+04           3.789e+04
launch__occupancy_limit_blocks                                                                                   32                  32
launch__occupancy_limit_registers                                                                                 6                   6
launch__occupancy_limit_shared_mem                                                                                1                   1
launch__occupancy_limit_warps                                                                                     8                   8
device__attribute_multiprocessor_count                                                                          148                 148
device__attribute_max_warps_per_multiprocessor                                                                   64                  64
gpu__time_duration.sum                                                                                    1.366e+05           1.283e+05
smsp__cycles_active.avg                                                                                   2.345e+05           2.142e+05
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              37.58                25.2
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              83.27               84.21
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                       47.43               43.49
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            30.51               23.27
sm__maximum_warps_per_active_cycle_pct                                                                         12.5                12.5
sm__warps_active.avg.pct_of_peak_sustained_active                                                              12.5               12.55
sm__warps_active.avg.per_cycle_active                                                                         8.001               8.034
sm__warps_active.max.per_cycle_active                                                                         8.205               8.381
sm__warps_active.min.per_cycle_active                                                                         7.147               6.896
smsp__warps_active.avg.per_cycle_active                                                                        1.99               2.009
smsp__warps_eligible.avg.per_cycle_active                                                                   0.05024             0.04724
smsp__warps_eligible.max.per_cycle_active                                                                    0.1003             0.09522
sm__inst_executed.avg.per_cycle_active                                                                       0.1937              0.1825
smsp__issue_active.avg.per_cycle_active                                                                      0.0493             0.04659
smsp__issue_active.avg.pct_of_peak_sustained_active                                                            4.93               4.659
smsp__inst_executed.avg                                                                                    1.13e+04                9772
