operator,category,backend,phase,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.024993599951267244,1321.0406324970372,1119.8028317077603,1179.708244247229,562.5,compute,0.2935645849993416,0.13997535396347002,0.2935645849993416,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.042452800273895266,1618.7265926543937,1631.9240086171876,991.912971502897,562.5,compute,0.35971702058986527,0.20399050107714845,0.35971702058986527,fp8,
absorbed_W_UK,Attention,torch.bmm (bf16),prefill,1024,65536,0.017347200214862822,742.765502698263,6044.641135239771,122.88,281.25,memory,0.330118001199228,0.7555801419049714,0.7555801419049714,bf16,
absorbed_W_UV,Attention,torch.bmm (bf16),prefill,1024,65536,0.019009600579738616,903.7469836326369,6177.957895926229,146.28571428571428,281.25,memory,0.4016653260589497,0.7722447369907786,0.7722447369907786,bf16,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.08818719983100891,2337.736435707865,1480.6263068814144,1578.883493318276,562.5,compute,0.5194969857128588,0.18507828836017678,0.5194969857128588,fp8,
dsa_prefill_attn,DSA,flashinfer trtllm-gen (fp8 KV),prefill,1024,65536,0.21223039627075196,1376.1354700361048,6225.337101639662,221.05396825396826,562.5,memory,0.3058078822302455,0.7781671377049577,0.7781671377049578,fp8,
index_k_proj,DSA-Indexer,torch.F.linear (bf16),prefill,1024,65536,0.13696800470352172,752.578788945077,6013.495266890035,125.14831317632081,281.25,memory,0.33447946175336757,0.7516869083612544,0.7516869083612544,bf16,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.021201600134372712,810.310027314752,893.420868233936,906.9745918477673,562.5,compute,0.18006889495883377,0.111677608529242,0.18006889495883377,fp8,
index_weights_proj,DSA-Indexer,torch.mm (bf16->f32),prefill,1024,65536,0.007063999772071838,57.00073570102957,1855.4926986012229,30.72,281.25,memory,0.0253336603115687,0.23193658732515285,0.23193658732515288,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,1024,65536,0.26493918895721436,2075.0264090858277,1062.1742487686327,1953.5649743828599,562.5,compute,0.46111697979685057,0.1327717810960791,0.46111697979685057,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.0991424024105072,2079.4173350206324,1877.5701564023427,1107.5044668397659,562.5,compute,0.46209274111569604,0.23469626955029285,0.46209274111569604,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.09918720126152039,2078.478146232149,1876.7221338285256,1107.5044668397659,562.5,compute,0.4618840324960331,0.2345902667285657,0.4618840324960331,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.10333440303802491,1995.0609298254521,2115.9716955014524,942.8580420366416,562.5,compute,0.4433468732945449,0.26449646193768156,0.4433468732945449,fp8,
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.038180801272392276,1729.5373584458684,1043.7161786024283,1657.0954766283094,562.5,compute,0.384341635210193,0.13046452232530353,0.384341635210193,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.06559200286865234,2095.3614383024833,1600.7570954992134,1308.9815089334477,562.5,compute,0.46563587517832966,0.20009463693740168,0.46563587517832966,fp8,
absorbed_W_UK,Attention,torch.bmm (bf16),prefill,2048,65536,0.03531199991703034,729.7746895261995,5582.586329383363,130.72340425531914,281.25,memory,0.3243443064560887,0.6978232911729203,0.6978232911729203,bf16,
absorbed_W_UV,Attention,torch.bmm (bf16),prefill,2048,65536,0.035673600435256955,963.1699057222595,6113.871471869811,157.53846153846155,281.25,memory,0.42807551365433755,0.7642339339837264,0.7642339339837263,bf16,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.15702400207519532,2625.820606830226,1021.8610013720122,2569.6455812528716,562.5,compute,0.5835156904067169,0.12773262517150152,0.5835156904067169,fp8,
dsa_prefill_attn,DSA,flashinfer trtllm-gen (fp8 KV),prefill,2048,65536,0.45285758972167967,1289.8437952977442,5834.972362114968,221.05396825396826,562.5,memory,0.28663195451060985,0.729371545264371,0.729371545264371,fp8,
index_k_proj,DSA-Indexer,torch.F.linear (bf16),prefill,2048,65536,0.1364143967628479,755.6329650689285,6037.89971986535,125.14831317632081,281.25,memory,0.3358368733639682,0.7547374649831687,0.7547374649831687,bf16,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.027857598662376405,1233.406324228699,1058.7146565447745,1165.0035414207346,562.5,compute,0.2740902942730442,0.1323393320680968,0.2740902942730442,fp8,
index_weights_proj,DSA-Indexer,torch.mm (bf16->f32),prefill,2048,65536,0.009916800260543823,81.20627085775732,2603.78179670869,31.18781725888325,281.25,memory,0.036091675936781024,0.3254727245885862,0.3254727245885862,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,2048,65536,0.5849616050720214,1879.6304205993595,947.3654530398956,1984.0605487228004,562.5,compute,0.4176956490220799,0.11842068162998694,0.4176956490220799,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.17526559829711913,2352.525905951147,1549.6809564393814,1518.0711204946463,562.5,compute,0.5227835346558104,0.19371011955492268,0.5227835346558104,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.1753216028213501,2351.774417874472,1549.1859281982604,1518.0711204946463,562.5,compute,0.5226165373054382,0.19364824102478256,0.5226165373054382,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.18108160495758058,2276.9671193967365,1858.9269300924002,1224.8825290209536,562.5,compute,0.5059926931992748,0.23236586626155,0.5059926931992748,fp8,
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.07031520009040833,1878.2602365091705,904.1281532052711,2077.4269995359105,562.5,compute,0.41739116366870455,0.11301601915065888,0.41739116366870455,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.12790080308914184,2149.1491867523373,1379.437030407342,1557.9900636114594,562.5,compute,0.47758870816718607,0.17242962880091775,0.47758870816718607,fp8,
absorbed_W_UK,Attention,torch.bmm (bf16),prefill,4096,65536,0.0863152027130127,597.1092684954095,4421.951776780783,135.03296703296704,281.25,memory,0.2653818971090709,0.5527439720975978,0.552743972097598,bf16,
absorbed_W_UV,Attention,torch.bmm (bf16),prefill,4096,65536,0.06616960167884826,1038.5354451660064,6338.717316687051,163.84,281.25,memory,0.4615713089626695,0.7923396645858813,0.7923396645858813,bf16,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.29543681144714357,2791.235515955786,745.4234796309411,3744.496373172637,562.5,compute,0.6202745591012858,0.09317793495386763,0.6202745591012858,fp8,
dsa_prefill_attn,DSA,flashinfer trtllm-gen (fp8 KV),prefill,4096,65536,0.9211359977722168,1268.250407472281,5737.288579299295,221.05396825396826,562.5,memory,0.2818334238827291,0.7171610724124119,0.7171610724124119,fp8,
index_k_proj,DSA-Indexer,torch.F.linear (bf16),prefill,4096,65536,0.1358687996864319,758.6672977305597,6062.145613274684,125.14831317632081,281.25,memory,0.3371854656580265,0.7577682016593356,0.7577682016593356,bf16,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.03774400055408478,1820.6728414368615,1340.5001922755737,1358.2040882412466,562.5,compute,0.404593964763747,0.1675625240344467,0.404593964763747,fp8,
index_weights_proj,DSA-Indexer,torch.mm (bf16->f32),prefill,4096,65536,0.008788800239562989,183.25740625549653,5831.188626782157,31.427109974424553,281.25,memory,0.08144773611355402,0.7288985783477696,0.7288985783477696,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,4096,65536,1.1212896347045898,1961.1554298647782,980.7404313424521,1999.6681764004768,562.5,compute,0.4358123177477285,0.12259255391780652,0.4358123177477285,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.332806396484375,2477.8181235188963,1329.672904952042,1863.4794424184083,562.5,compute,0.5506262496708659,0.16620911311900524,0.5506262496708659,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.3179680109024048,2593.448688412584,1391.7237987057308,1863.4794424184083,562.5,compute,0.576321930758352,0.17396547483821634,0.576321930758352,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.3344559907913208,2465.597099579295,1711.8756660490878,1440.289822723956,562.5,compute,0.5479104665731767,0.213984458256136,0.5479104665731767,fp8,
