operator,category,backend,phase,timing,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",decode,hipgraph,1,65536,0.011014450341463089,2.927400914289923,1465.1182310252627,1.9980646287101227,493.37735849056605,memory,0.0011195077877891786,0.27643740208023826,0.2764374020802382,fp8,
q_b_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",decode,hipgraph,1,65536,0.006828200072050095,9.82819239212059,4920.404154167191,1.9974360000076197,493.37735849056605,memory,0.003758534701946763,0.9283781422956965,0.9283781422956965,fp8,
absorbed_W_UK,Attention,torch._scaled_mm x B (hipBLASLt bmm),decode,hipgraph,1,65536,0.29345335960388186,0.04287874576384148,21.70457345793408,1.9755627009646302,493.37735849056605,memory,1.639785298246261e-05,0.004095202539232846,0.004095202539232846,fp8,
absorbed_W_UV,Attention,torch._scaled_mm x B (hipBLASLt bmm),decode,hipgraph,1,65536,0.2364022970199585,0.07096892124776422,35.761682972506186,1.9844961240310077,493.37735849056605,memory,2.7140204691485036e-05,0.006747487353303054,0.006747487353303054,fp8,
o_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",decode,hipgraph,1,65536,0.02818399965763092,7.143293870481228,3573.554400492284,1.9989324548962193,493.37735849056605,memory,0.0027317656011630383,0.6742555472626951,0.6742555472626951,fp8,
dsa_decode_attn,DSA,gather+chunked-attn(bf16),decode,hipgraph,1,65536,0.041447749733924864,6.881258303066674,60.47980930429694,113.77777777777777,246.67924528301887,memory,0.005263315208097502,0.011411284774395649,0.011411284774395649,bf16,
index_k_proj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",decode,hipgraph,1,65536,0.005922799929976463,0.2655608865056244,133.92584746706987,1.9828949491689527,493.37735849056605,memory,0.00010155680389522522,0.02526902782397545,0.02526902782397545,fp8,
index_q_upproj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",decode,hipgraph,1,65536,0.004751100018620491,3.5312277018473215,1768.213669902758,1.9970593836894832,493.37735849056605,memory,0.001350425523671009,0.33362522073636947,0.3336252207363694,fp8,
index_weights_proj,DSA-Indexer,torch.mm(bf16->f32),decode,hipgraph,1,65536,0.0067501001060009,0.0582533582947055,60.092738423151594,0.9693909750710004,246.67924528301887,memory,4.455664547552815e-05,0.011338252532670113,0.011338252532670113,bf16,
index_score,DSA-Indexer,batched _scaled_mm + weighted-sum (mqa logits),decode,hipgraph,1,65536,0.12013504505157471,4.468895081943142,74.22580144013618,60.20676092729491,493.37735849056605,memory,0.0017090118482324913,0.01400486819625211,0.014004868196252112,fp8,
moe_gate_proj,MoE,torch._scaled_mm x E (per-expert grouped),decode,hipgraph,1,65536,0.03714934885501862,5.419384140101885,2712.6001156380025,1.9978558980586223,493.37735849056605,memory,0.002072501487667553,0.511811342573208,0.5118113425732082,fp8,
