operator,category,backend,phase,timing,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,target_reward,target_desc,compute_dtype,error
fused_qkv_a_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,1024,65536,0.04905720055103302,673.0420961068218,570.5157180928996,1179.708244247229,493.37735849056605,compute,0.25738731733787973,0.10764447511186787,0.25738731733787973,0.38608,"min(1.000,1.5x0.2574)=0.3861",fp8,
q_b_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,1024,65536,0.07996929883956909,859.3232369569978,866.3292664224304,991.912971502897,493.37735849056605,compute,0.32862565947340155,0.16345835215517554,0.32862565947340155,0.49294,"min(1.000,1.5x0.3286)=0.4929",fp8,
absorbed_W_UK,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,1024,65536,0.31298084259033204,41.168340468893646,274.72362617588533,149.85365853658536,493.37735849056605,memory,0.015743753286509482,0.05183464644828025,0.05183464644828026,0.07775,"min(1.000,1.5x0.0518)=0.0778",fp8,
absorbed_W_UV,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,1024,65536,0.26429429054260256,65.00280103943719,285.65684050533923,227.55555555555554,493.37735849056605,memory,0.024858618317884884,0.0538975170764791,0.05389751707647909,0.08085,"min(1.000,1.5x0.0539)=0.0808",fp8,
o_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,1024,65536,0.19225679636001586,1072.3076328701131,679.1556422041549,1578.883493318276,493.37735849056605,compute,0.4100759619374023,0.12814257400078394,0.4100759619374023,0.61511,"min(1.000,1.5x0.4101)=0.6151",fp8,
dsa_prefill_attn,DSA,gather+chunked-attn(bf16),prefill,hipgraph,1024,65536,3.6559967041015624,79.88458408628989,61.95093549890359,1289.4814814814815,246.67924528301887,compute,0.06110186942503434,0.01168885575451011,0.06110186942503434,0.09165,"min(1.000,1.5x0.0611)=0.0917",bf16,
index_k_proj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,1024,65536,0.13362735509872437,771.393065647709,3238.857310916959,238.16827714133487,493.37735849056605,memory,0.2949990690457413,0.6111051530031998,0.6111051530031999,0.91666,"min(1.000,1.5x0.6111)=0.9167",fp8,
index_q_upproj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,1024,65536,0.029284700751304626,586.6499825249073,646.8207464662634,906.9745918477673,493.37735849056605,compute,0.2243489167941058,0.12204165027665345,0.2243489167941058,0.33652,"min(1.000,1.5x0.2243)=0.3365",fp8,
index_weights_proj,DSA-Indexer,torch.mm(bf16->f32),prefill,hipgraph,1024,65536,0.011250799894332886,35.7888494846326,1165.001610827884,30.72,246.67924528301887,memory,0.027374062631660243,0.21981162468450643,0.21981162468450643,0.32972,"min(1.000,1.5x0.2198)=0.3297",bf16,
index_score,DSA-Indexer,batched _scaled_mm + weighted-sum (mqa logits),prefill,hipgraph,1024,65536,11.404199981689453,48.20643401296769,24.676135498485955,1953.5649743828599,493.37735849056605,compute,0.0184352877788702,0.00465587462235584,0.0184352877788702,0.02765,"min(1.000,1.5x0.0184)=0.0277",fp8,
moe_gate_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,1024,65536,0.31965789794921873,644.9345739010979,582.3313523433466,1107.5044668397659,493.37735849056605,compute,0.2466383318295529,0.10987384006478237,0.2466383318295529,0.36996,"min(1.000,1.5x0.2466)=0.3700",fp8,
moe_up_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,1024,65536,0.3135297536849976,657.5402423054456,593.7133998039023,1107.5044668397659,493.37735849056605,compute,0.2514590394682189,0.11202139618941553,0.2514590394682189,0.37719,"min(1.000,1.5x0.2515)=0.3772",fp8,
moe_down_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,1024,65536,0.29073824882507326,709.0860285536015,752.0602221538297,942.8580420366416,493.37735849056605,compute,0.27117137502527877,0.1418981551233641,0.27117137502527877,0.40676,"min(1.000,1.5x0.2712)=0.4068",fp8,
fused_qkv_a_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,2048,65536,0.07352619767189025,898.1169197770967,541.9826029605091,1657.0954766283094,493.37735849056605,compute,0.3434612871532742,0.10226086848311493,0.3434612871532742,0.51519,"min(1.000,1.5x0.3435)=0.5152",fp8,
q_b_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,2048,65536,0.14158525466918945,970.715162345986,741.5805003516974,1308.9815089334477,493.37735849056605,compute,0.3712245830991571,0.13992084912296177,0.3712245830991571,0.55684,"min(1.000,1.5x0.3712)=0.5568",fp8,
absorbed_W_UK,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,2048,65536,0.362164306640625,71.15500700507003,457.4581342285589,155.54430379746836,493.37735849056605,memory,0.027211368314302663,0.08631285551482243,0.08631285551482244,0.12947,"min(1.000,1.5x0.0863)=0.1295",fp8,
absorbed_W_UV,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,2048,65536,0.3329607009887695,103.19457601441957,428.2978008410969,240.94117647058823,493.37735849056605,memory,0.039464062111139835,0.08081090581907488,0.08081090581907487,0.12122,"min(1.000,1.5x0.0808)=0.1212",fp8,
o_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,2048,65536,0.3491929531097412,1180.7708510269415,459.50727977483876,2569.6455812528716,493.37735849056605,compute,0.45155487820832213,0.08669948674996958,0.45155487820832213,0.67733,"min(1.000,1.5x0.4516)=0.6773",fp8,
dsa_prefill_attn,DSA,gather+chunked-attn(bf16),prefill,hipgraph,2048,65536,7.37121353149414,79.24279357263445,51.21101951356489,1547.3777777777777,246.67924528301887,compute,0.06061097871549216,0.009662456511993376,0.06061097871549216,0.09092,"min(1.000,1.5x0.0606)=0.0909",bf16,
index_k_proj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,2048,65536,0.13509149551391603,763.032600326655,3203.7541249620444,238.16827714133487,493.37735849056605,memory,0.2918018281106945,0.604481910370197,0.604481910370197,0.90672,"min(1.000,1.5x0.6045)=0.9067",fp8,
index_q_upproj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,2048,65536,0.04680835008621216,734.0514738228508,630.0851866318508,1165.0035414207346,493.37735849056605,compute,0.28071875552520204,0.1188839974777077,0.28071875552520204,0.42108,"min(1.000,1.5x0.2807)=0.4211",fp8,
index_weights_proj,DSA-Indexer,torch.mm(bf16->f32),prefill,hipgraph,2048,65536,0.014602750539779663,55.1475809852567,1768.2411220858673,31.18781725888325,246.67924528301887,memory,0.04218110829528584,0.3336304003935599,0.3336304003935599,0.50045,"min(1.000,1.5x0.3336)=0.5004",bf16,
index_score,DSA-Indexer,batched _scaled_mm + weighted-sum (mqa logits),prefill,hipgraph,2048,65536,22.848817443847658,48.121161214496816,24.25387735544354,1984.0605487228004,493.37735849056605,compute,0.01840267743106689,0.004576203274611989,0.01840267743106689,0.02760,"min(1.000,1.5x0.0184)=0.0276",fp8,
moe_gate_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,2048,65536,0.5332274913787842,773.2475670934715,509.3618847327242,1518.0711204946463,493.37735849056605,compute,0.29570827453955084,0.09610601598730645,0.29570827453955084,0.44356,"min(1.000,1.5x0.2957)=0.4436",fp8,
moe_up_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,2048,65536,0.5277143001556397,781.3259187677777,514.6833427100513,1518.0711204946463,493.37735849056605,compute,0.2987976285011961,0.09711006466227384,0.2987976285011961,0.44820,"min(1.000,1.5x0.2988)=0.4482",fp8,
moe_down_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,2048,65536,0.4569392204284668,902.3450865727285,736.6788775197663,1224.8825290209536,493.37735849056605,compute,0.3450782387749927,0.13899601462637098,0.3450782387749927,0.51762,"min(1.000,1.5x0.3451)=0.5176",fp8,
fused_qkv_a_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.1394600510597229,947.0113007160862,455.85779954128117,2077.4269995359105,493.37735849056605,compute,0.36215966221120743,0.08601090557382664,0.36215966221120743,0.54324,"min(1.000,1.5x0.3622)=0.5432",fp8,
q_b_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.2679497480392456,1025.8561874211566,658.4484788325265,1557.9900636114594,493.37735849056605,compute,0.3923118235577485,0.12423556204387293,0.3923118235577485,0.58847,"min(1.000,1.5x0.3923)=0.5885",fp8,
absorbed_W_UK,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,4096,65536,0.45969181060791015,112.11774141428035,707.122799447162,158.55483870967743,493.37735849056605,memory,0.042876492949741996,0.13341939612210604,0.13341939612210602,0.20013,"min(1.000,1.5x0.1334)=0.2001",fp8,
absorbed_W_UV,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,4096,65536,0.389951753616333,176.22558713663832,709.8931122447588,248.24242424242425,493.37735849056605,memory,0.06739285905259793,0.1339420966499545,0.1339420966499545,0.20091,"min(1.000,1.5x0.1339)=0.2009",fp8,
o_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.6845272064208985,1204.6763271012394,321.71918651921175,3744.496373172637,493.37735849056605,compute,0.4606969012586483,0.060701733305511645,0.4606969012586483,0.69105,"min(1.000,1.5x0.4607)=0.6910",fp8,
dsa_prefill_attn,DSA,gather+chunked-attn(bf16),prefill,hipgraph,4096,65536,14.717306518554688,79.37805080292138,46.16858710820192,1719.3086419753085,246.67924528301887,compute,0.06071443384038655,0.008711054171358854,0.06071443384038655,0.09107,"min(1.000,1.5x0.0607)=0.0911",bf16,
index_k_proj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.14952504634857178,689.377583362873,2894.497922381911,238.16827714133487,493.37735849056605,memory,0.26363439648279974,0.5461316834682851,0.5461316834682851,0.81920,"min(1.000,1.5x0.5461)=0.8192",fp8,
index_q_upproj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.07811405062675476,879.7325984841831,647.7175308928413,1358.2040882412466,493.37735849056605,compute,0.3364306851061926,0.12221085488544176,0.3364306851061926,0.50465,"min(1.000,1.5x0.3364)=0.5046",fp8,
index_weights_proj,DSA-Indexer,torch.mm(bf16->f32),prefill,hipgraph,4096,65536,0.02010650038719177,80.10408101779817,2548.884739417243,31.427109974424553,246.67924528301887,memory,0.06126975754765043,0.4809216489466496,0.4809216489466497,0.72138,"min(1.000,1.5x0.4809)=0.7214",bf16,
index_score,DSA-Indexer,batched _scaled_mm + weighted-sum (mqa logits),prefill,hipgraph,4096,65536,46.03658447265625,47.76686369637446,23.887395048891406,1999.6681764004768,493.37735849056605,compute,0.018267185627127026,0.004507055669602153,0.018267185627127026,0.02740,"min(1.000,1.5x0.0183)=0.0274",fp8,
moe_gate_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8153544425964355,1011.3806680270426,542.7377651746355,1863.4794424184083,493.37735849056605,compute,0.38677604039429525,0.10240335191974254,0.38677604039429525,0.58016,"min(1.000,1.5x0.3868)=0.5802",fp8,
moe_up_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8130610466003418,1014.2334628870084,544.2686620522867,1863.4794424184083,493.37735849056605,compute,0.38786701705113324,0.1026922003872239,0.38786701705113324,0.58180,"min(1.000,1.5x0.3879)=0.5818",fp8,
moe_down_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8725116729736329,945.1262904272002,656.2056299472595,1440.289822723956,493.37735849056605,compute,0.36143878940961416,0.1238123830089169,0.36143878940961416,0.54216,"min(1.000,1.5x0.3614)=0.5422",fp8,
