operator,category,backend,phase,timing,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.1288681983947754,1024.847448766339,493.3253726823066,2077.4269995359105,493.37735849056605,compute,0.39192605788609086,0.09308025899666161,0.39192605788609086,fp8,
q_b_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.26382548809051515,1041.8929154020666,668.741694659421,1557.9900636114594,493.37735849056605,compute,0.39844465004476903,0.1261776782376266,0.39844465004476903,fp8,
absorbed_W_UK,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,4096,65536,0.44647793769836425,115.43595595717792,728.0506662338289,158.55483870967743,493.37735849056605,memory,0.04414545717127918,0.1373680502327979,0.13736805023279788,fp8,
absorbed_W_UV,Attention,torch._scaled_mm x B (hipBLASLt bmm),prefill,hipgraph,4096,65536,0.38046956062316895,180.61754171199595,727.5853120722494,248.24242424242425,493.37735849056605,memory,0.06907244701976976,0.13728024756080176,0.13728024756080176,fp8,
o_proj,Attention,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.6817949295043946,1209.5040387458394,323.0084684849222,3744.496373172637,493.37735849056605,compute,0.46254313310101314,0.060944994053758916,0.46254313310101314,fp8,
dsa_prefill_attn,DSA,gather+chunked-attn(bf16),prefill,hipgraph,4096,65536,15.203628540039062,76.83896652930186,44.69178171583073,1719.3086419753085,246.67924528301887,compute,0.058772347047041346,0.008432411644496363,0.058772347047041346,bf16,
index_k_proj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.15235129594802857,676.5890271072147,2840.8024579432563,238.16827714133487,493.37735849056605,memory,0.25874374817668544,0.5360004637628786,0.5360004637628786,fp8,
index_q_upproj,DSA-Indexer,"torch._scaled_mm(hipBLASLt,per-tensor)",prefill,hipgraph,4096,65536,0.0694596529006958,989.3437969557089,728.4205706057187,1358.2040882412466,493.37735849056605,compute,0.37834861637374617,0.13743784351051297,0.37834861637374617,fp8,
index_weights_proj,DSA-Indexer,torch.mm(bf16->f32),prefill,hipgraph,4096,65536,0.01948554962873459,82.65677728817519,2630.1106705465904,31.427109974424553,246.67924528301887,memory,0.06322225584226342,0.49624729632954534,0.4962472963295453,bf16,
index_score,DSA-Indexer,batched _scaled_mm + weighted-sum (mqa logits),prefill,hipgraph,4096,65536,46.121881103515626,47.67852487665296,23.843218309588334,1999.6681764004768,493.37735849056605,compute,0.018233402759819863,0.004498720435771384,0.018233402759819863,fp8,
moe_gate_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8102798461914062,1017.7147126490457,546.1368070303281,1863.4794424184083,493.37735849056605,compute,0.38919832982104313,0.10304468057176003,0.38919832982104313,fp8,
moe_up_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8150178909301757,1011.7983052995925,542.9618820943305,1863.4794424184083,493.37735849056605,compute,0.3869357548279447,0.10244563813100574,0.3869357548279447,fp8,
moe_down_proj,MoE,torch._scaled_mm x E (per-expert grouped),prefill,hipgraph,4096,65536,0.8681310653686524,949.8954175563557,659.5168573501832,1440.289822723956,493.37735849056605,compute,0.36326261713884117,0.12443714289626097,0.36326261713884117,fp8,
