input_len,wall_ms,gpu_kernel_ms,group,gpu_ms,pct_of_gpu
1024,393.77,233.54,AllReduce (TP),117.20,50.19
1024,393.77,233.54,ATen elementwise/misc,35.40,15.16
1024,393.77,233.54,MoE fused GEMM,31.85,13.64
1024,393.77,233.54,FP8 GEMM (linear),19.14,8.20
1024,393.77,233.54,MLA attention,12.67,5.43
1024,393.77,233.54,Quant / act,4.64,1.99
1024,393.77,233.54,rocPRIM,3.66,1.57
1024,393.77,233.54,Other,3.24,1.39
1024,393.77,233.54,TopK,2.82,1.21
1024,393.77,233.54,RMSNorm,2.60,1.12
1024,393.77,233.54,Other GEMM,0.31,0.13
2048,480.33,389.79,AllReduce (TP),208.85,53.58
2048,480.33,389.79,MoE fused GEMM,49.99,12.83
2048,480.33,389.79,ATen elementwise/misc,45.17,11.59
2048,480.33,389.79,FP8 GEMM (linear),30.25,7.76
2048,480.33,389.79,MLA attention,28.24,7.24
2048,480.33,389.79,Quant / act,8.51,2.18
2048,480.33,389.79,rocPRIM,5.23,1.34
2048,480.33,389.79,RMSNorm,4.98,1.28
2048,480.33,389.79,Other,4.56,1.17
2048,480.33,389.79,TopK,3.60,0.92
2048,480.33,389.79,Other GEMM,0.41,0.11
4096,738.21,528.99,AllReduce (TP),184.61,34.90
4096,738.21,528.99,MoE fused GEMM,82.83,15.66
4096,738.21,528.99,ATen elementwise/misc,76.57,14.47
4096,738.21,528.99,MLA attention,72.75,13.75
4096,738.21,528.99,FP8 GEMM (linear),57.01,10.78
4096,738.21,528.99,Quant / act,18.51,3.50
4096,738.21,528.99,TopK,10.70,2.02
4096,738.21,528.99,RMSNorm,7.90,1.49
4096,738.21,528.99,rocPRIM,6.14,1.16
4096,738.21,528.99,Other GEMM,4.38,0.83
4096,738.21,528.99,DSA get_valid_kv_indices,2.75,0.52
4096,738.21,528.99,Other,2.69,0.51
