operator,category,backend,phase,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.02725760042667389,1.182925550865687,592.0356798615371,1.9980646287101227,562.5,memory,0.00026287234463681934,0.07400445998269214,0.07400445998269212,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.028152000904083253,2.3838044133575713,1193.4321867376368,1.9974360000076197,562.5,memory,0.0005297343140794603,0.1491790233422046,0.14917902334220456,fp8,
absorbed_W_UK,Attention,sgl_kernel.bmm_fp8,decode,1,65536,0.0025087999179959296,5.015510368021471,2538.7755931879515,1.9755627009646302,562.5,memory,0.0011145578595603267,0.317346949148494,0.31734694914849393,fp8,
absorbed_W_UV,Attention,sgl_kernel.bmm_fp8,decode,1,65536,0.0024399999529123306,6.8759083294141385,3464.8131816188434,1.9844961240310077,562.5,memory,0.0015279796287586975,0.43310164770235543,0.4331016477023554,fp8,
o_proj,Attention,deep_gemm.fp8_gemm_nt,decode,1,65536,0.048023998737335205,4.1922080062750595,2097.2234434468223,1.9989324548962193,562.5,memory,0.0009316017791722353,0.2621529304308528,0.2621529304308528,fp8,
dsa_decode_attn,DSA,sgl_kernel.flash_mla_sparse_fwd,decode,1,65536,0.03892160058021545,7.327876237057391,64.40516223976223,113.77777777777777,281.25,memory,0.0032568338831366183,0.008050645279970278,0.00805064527997028,bf16,
index_k_proj,DSA-Indexer,deep_gemm.fp8_gemm_nt,decode,1,65536,0.025286400318145753,0.062201973401144736,31.369273206941237,1.9828949491689527,562.5,memory,1.3822660755809941e-05,0.003921159150867655,0.003921159150867655,fp8,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,decode,1,65536,0.02086080014705658,0.8042460443382002,402.7151375200419,1.9970593836894832,562.5,memory,0.00017872134318626672,0.05033939219000523,0.05033939219000523,fp8,
index_weights_proj,DSA-Indexer,deep_gemm.bf16_gemm_nt,decode,1,65536,0.013105599582195282,0.03000366351297706,30.951044815307387,0.9693909750710004,281.25,memory,1.3334961561323137e-05,0.0038688806019134235,0.0038688806019134235,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_paged_mqa_logits,decode,1,65536,0.004300799965858459,124.83047718143247,2073.3631116973143,60.20676092729491,562.5,memory,0.027740106040318326,0.2591703889621643,0.2591703889621643,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.02727839946746826,7.380440052580744,3694.1803759483073,1.9978558980586223,562.5,memory,0.0016400977894623877,0.46177254699353837,0.46177254699353837,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.027859199047088622,7.226575023198281,3617.165297167111,1.9978558980586223,562.5,memory,0.001605905560710729,0.45214566214588886,0.4521456621458888,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,decode,1,65536,0.02571200132369995,7.830063069202937,3920.4677508741847,1.9972267511847257,562.5,memory,0.0017400140153784303,0.49005846885927307,0.4900584688592731,fp8,
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,decode,4,65536,0.02298559993505478,5.611115148806866,703.580678585471,7.9750841937385974,562.5,memory,0.0012469144775126369,0.08794758482318386,0.08794758482318388,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,decode,4,65536,0.02396160066127777,11.202734733568732,1406.5063714404964,7.96493706750526,562.5,memory,0.0024894966074597183,0.17581329643006205,0.17581329643006208,fp8,
absorbed_W_UK,Attention,sgl_kernel.bmm_fp8,decode,4,65536,0.002484799921512604,20.255815192299657,2657.2570060210815,7.622828784119107,562.5,memory,0.004501292264955479,0.3321571257526352,0.3321571257526352,fp8,
absorbed_W_UV,Attention,sgl_kernel.bmm_fp8,decode,4,65536,0.002449600026011467,27.39584556147692,3531.495716909135,7.757575757575758,562.5,memory,0.006087965680328205,0.44143696461364185,0.4414369646136418,fp8,
o_proj,Attention,deep_gemm.fp8_gemm_nt,decode,4,65536,0.0437967985868454,18.38733409710631,2301.643299340998,7.988785274577924,562.5,memory,0.004086074243801403,0.28770541241762476,0.28770541241762476,fp8,
dsa_decode_attn,DSA,sgl_kernel.flash_mla_sparse_fwd,decode,4,65536,0.039750400185585025,28.700357296370438,252.2492340501308,113.77777777777777,281.25,memory,0.012755714353942417,0.03153115425626635,0.031531154256266354,bf16,
index_k_proj,DSA-Indexer,deep_gemm.fp8_gemm_nt,decode,4,65536,0.021547199785709382,0.2919848547639422,37.730749614119034,7.738644414705187,562.5,memory,6.488552328087604e-05,0.004716343701764879,0.004716343701764879,fp8,
