operator,category,backend,phase,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.025491198897361754,1295.2533625798667,1097.9438084764483,1179.708244247229,562.5,compute,0.28783408057330373,0.13724297605955604,0.28783408057330373,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.04207679927349091,1633.191638207482,1646.5069871331063,991.912971502897,562.5,compute,0.36293147515721824,0.2058133733916383,0.36293147515721824,fp8,
absorbed_W_UK,Attention,sgl_kernel.bmm_fp8,prefill,1024,65536,0.015500800311565399,831.2410733003486,5547.01888107329,149.85365853658536,562.5,memory,0.18472023851118857,0.6933773601341613,0.6933773601341614,fp8,
absorbed_W_UV,Attention,sgl_kernel.bmm_fp8,prefill,1024,65536,0.01032159999012947,1664.4579522970355,7314.512485680332,227.55555555555554,562.5,memory,0.3698795449548968,0.9143140607100415,0.9143140607100416,fp8,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.08630880117416381,2388.6142247763337,1512.8502102180314,1578.883493318276,562.5,compute,0.5308031610614075,0.18910627627725393,0.5308031610614075,fp8,
dsa_prefill_attn,DSA,sgl_kernel.flash_mla_sparse_fwd,prefill,1024,65536,0.28125920295715334,1038.393670526371,805.2800179288837,1289.4814814814815,281.25,compute,0.4615082980117204,0.10066000224111046,0.4615082980117204,bf16,
index_k_proj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.08770400285720825,1175.3079876163038,4934.779735249323,238.16827714133487,562.5,memory,0.26117955280362304,0.6168474669061653,0.6168474669061653,fp8,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,1024,65536,0.024516800045967103,700.7386425548634,772.6111060368933,906.9745918477673,562.5,compute,0.15571969834552518,0.09657638825461166,0.15571969834552518,fp8,
index_weights_proj,DSA-Indexer,deep_gemm.bf16_gemm_nt,prefill,1024,65536,0.019575999677181245,20.56871631793867,669.5545676412327,30.72,281.25,memory,0.00914165169686163,0.08369432095515408,0.08369432095515408,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,1024,65536,0.2584496021270752,2127.129658407037,1088.8451043605585,1953.5649743828599,562.5,compute,0.47269547964600817,0.1361056380450698,0.47269547964600817,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.09791359901428223,2105.513761964041,1901.1334265513779,1107.5044668397659,562.5,compute,0.4678919471031202,0.23764167831892224,0.4678919471031202,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.09731199741363525,2118.530455517228,1912.886601317643,1107.5044668397659,562.5,compute,0.4707845456704951,0.2391108251647054,0.4707845456704951,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,1024,65536,0.10064640045166015,2048.343798514847,2172.4837750657316,942.8580420366416,562.5,compute,0.45518751078107716,0.27156047188321647,0.45518751078107716,fp8,
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.03599199950695038,1834.7166892811283,1107.1882792259048,1657.0954766283094,562.5,compute,0.4077148198402507,0.13839853490323809,0.4077148198402507,fp8,
