experiment_id,task,session_id,model,reasoning_effort,request_index,timestamp,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,non_reasoning_output_tokens,total_tokens,cum_input_tokens,cum_cached_input_tokens,cum_uncached_input_tokens,cum_output_tokens,cum_reasoning_output_tokens,cum_total_tokens
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,1,2026-07-14T15:48:46.048Z,10458,0,10458,196,36,160,10654,10458,0,10458,196,36,10654
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,2,2026-07-14T15:48:55.672Z,12129,10368,1761,175,98,77,12304,22587,10368,12219,371,134,22958
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,3,2026-07-14T15:49:05.610Z,12314,11904,410,174,0,174,12488,34901,22272,12629,545,134,35446
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,4,2026-07-14T15:49:17.994Z,13977,0,13977,535,31,504,14512,48878,22272,26606,1080,165,49958
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,5,2026-07-14T15:49:48.797Z,21396,0,21396,671,367,304,22067,70274,22272,48002,1751,532,72025
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,6,2026-07-14T15:50:15.326Z,23749,11904,11845,439,81,358,24188,94023,34176,59847,2190,613,96213
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,7,2026-07-14T15:50:34.650Z,28867,23680,5187,461,110,351,29328,122890,57856,65034,2651,723,125541
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,8,2026-07-14T15:50:57.454Z,39472,28800,10672,347,0,347,39819,162362,86656,75706,2998,723,165360
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,9,2026-07-14T15:51:37.106Z,45807,0,45807,437,87,350,46244,208169,86656,121513,3435,810,211604
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,10,2026-07-14T15:52:55.582Z,47789,0,47789,301,0,301,48090,255958,86656,169302,3736,810,259694
glm52-codex-01,glm52/routed_swiglu_decode,019f6150-b7f2-7791-9dda-83e4fa81b470,gpt-5.5,xhigh,11,2026-07-14T15:53:10.817Z,49112,39040,10072,327,0,327,49439,305070,125696,179374,4063,810,309133
